Número,Clave ,Nombre de la presa,Latitud,Longitud,Altitud,Estado,Municipio,"Identificador de la 
cuenca de disponibilidad",Cuenca de disponibilidad,"Número de la 
región hidrológica",Región hidrológica
1,NGRAG,"El Niágara, Ags.",21.780000,-102.371667,1828,Aguascalientes,Aguascalientes,191,Presa El Niágara,12,Lerma Santiago
2,CDRAG,"La Codorniz, Ags.",21.997500,-102.676944,1783,Aguascalientes,Calvillo,204,Río Juchipila 1,12,Lerma Santiago
3,MNLAG,"Media Luna, Ags.",21.807500,-102.788333,1585,Aguascalientes,Calvillo,204,Río Juchipila 1,12,Lerma Santiago
4,ABRAG,"Abelardo L. Rodríguez, Ags.",21.916944,-102.427778,1974,Aguascalientes,Jesús María,191,Presa El Niágara,12,Lerma Santiago
5,PTRAG,"Derivadora Pabellón, Ags.",22.235000,-102.437500,2090,Aguascalientes,Rincón de Romos,189,Río San Pedro,12,Lerma Santiago
6,ANVAG,"Cincuenta Aniversario, Ags.",22.188611,-102.464167,2050,Aguascalientes,San José de Gracia,190,Presa Calles,12,Lerma Santiago
7,JCQAG,"Jocoque, Ags.",22.121667,-102.356944,1970,Aguascalientes,San José de Gracia,189,Río San Pedro,12,Lerma Santiago
8,PECAG,"Plutarco Elías Calles, Ags.",22.141111,-102.417222,2020,Aguascalientes,San José de Gracia,190,Presa Calles,12,Lerma Santiago
9,ELZBN,"Emilio López Zamora, B.C.",31.890278,-116.602500,70,Baja California,Ensenada,4,Ensenada-El Gallo,1,B.C.Noroeste
10,AURBN,"Las Auras, B.C.",32.544722,-116.531667,0,Baja California,Tecate,1,Tijuana,1,B.C.Noroeste
11,ALRBN,"Abelardo L. Rodríguez, B.C.",32.444722,-116.908333,120,Baja California,Tijuana,1,Tijuana,1,B.C.Noroeste
12,CRRBN,"El Carrizo, B.C.",32.479444,-116.696944,495,Baja California,Tijuana,1,Tijuana,1,B.C.Noroeste
13,ANGCP,"Doctor Belisario Domínguez, Chis.",16.401389,-92.778889,520,Chiapas,Acala,627,Presa Chicoasén,30,Grijalva-Usumacinta
14,JSBCP,"Juan Sabines, Chis.",15.996389,-92.898611,1550,Chiapas,La Concordia,614,Presa La Concordia,30,Grijalva-Usumacinta
