Fecha,Precipitacion (mm),T_Max (C),T_Min (C)
2013-01-01,0.0,,
2013-01-02,7.4,7.4,4.6
2013-01-03,0.2,5.9,1.2
2013-01-04,0.0,10.8,0.8
2013-01-05,0.0,18.5,4.3
2013-01-06,0.0,14.4,2.6
2013-01-07,0.0,15.4,0.2
2013-01-08,2.8000000000000003,23.6,5.2
2013-01-09,6.2,19.7,5.4
2013-01-10,0.0,22.3,0.0
2013-01-11,0.0,28.4,2.0
2013-01-12,0.0,27.6,9.8
2013-01-13,0.0,23.9,6.4
2013-01-14,0.0,19.3,1.3
2013-01-15,0.0,18.1,2.7
2013-01-16,0.0,12.5,-1.7
2013-01-17,0.0,14.1,-5.9
2013-01-18,0.0,12.6,-4.8
2013-01-19,0.0,21.4,-3.5
2013-01-20,0.4,21.3,1.4
2013-01-21,0.0,20.0,5.3
2013-01-22,1.5999999999999999,18.6,3.5
2013-01-23,0.2,21.8,3.8
2013-01-24,0.0,24.1,6.2
2013-01-25,0.0,26.3,8.1
2013-01-26,0.0,24.8,9.9
2013-01-27,0.0,29.2,8.4
2013-01-28,0.0,28.5,8.3
2013-01-29,0.0,27.3,11.1
2013-01-30,0.0,22.5,5.0
2013-01-31,0.0,17.1,-1.3
2013-02-01,0.0,16.0,-0.1
2013-02-02,0.0,23.6,-0.7
2013-02-03,0.0,17.0,1.6
2013-02-04,0.0,28.7,5.9
2013-02-05,0.0,23.6,4.7
2013-02-06,0.0,23.8,7.5
2013-02-07,0.0,26.0,3.3
2013-02-08,0.0,19.3,10.6
2013-02-09,0.0,29.4,7.2
2013-02-10,0.0,29.0,13.5
2013-02-11,0.0,28.8,11.9
2013-02-12,0.0,29.0,13.2
2013-02-13,0.0,17.7,9.0
2013-02-14,0.0,19.0,-1.2
2013-02-15,0.0,20.2,-1.1
2013-02-16,0.0,12.6,4.4
2013-02-17,0.2,21.0,-1.3
2013-02-18,0.0,27.1,2.4
2013-02-19,0.0,21.3,6.8
2013-02-20,0.0,30.3,7.0
2013-02-21,0.0,29.3,16.2
2013-02-22,0.0,22.7,9.4
2013-02-23,0.0,23.4,7.6
2013-02-24,0.0,28.2,5.8
2013-02-25,0.0,26.4,7.8
2013-02-26,0.0,18.4,-2.7
2013-02-27,0.0,20.1,2.0
2013-02-28,0.0,13.7,0.5
2013-03-01,0.0,16.9,-1.0
2013-03-02,0.0,20.1,-1.4
2013-03-03,0.0,21.2,0.2
2013-03-04,0.0,30.1,-0.1
2013-03-05,0.0,24.9,5.0
2013-03-06,0.0,16.7,-0.4
2013-03-07,0.0,26.6,1.7
2013-03-08,0.0,27.3,6.4
2013-03-09,0.0,29.6,11.8
2013-03-10,0.0,24.5,9.7
2013-03-11,0.0,16.6,0.6
2013-03-12,0.0,20.4,2.9
2013-03-13,0.0,19.6,2.1
2013-03-14,0.0,19.7,2.3
2013-03-15,0.0,22.5,3.2
2013-03-16,0.0,27.2,8.4
2013-03-17,0.0,30.7,11.7
2013-03-18,0.0,29.7,10.0
2013-03-19,0.0,28.4,9.5
2013-03-20,0.4,24.6,6.8
2013-03-21,0.2,30.5,9.8
2013-03-22,0.0,32.9,12.2
2013-03-23,0.0,25.8,14.6
2013-03-24,0.0,17.9,14.1
2013-03-25,0.0,13.6,-0.6
2013-03-26,0.4,9.2,3.5
2013-03-27,0.0,18.9,2.2
2013-03-28,0.0,24.0,4.3
2013-03-29,0.0,23.9,5.4
2013-03-30,0.0,29.4,4.6
2013-03-31,0.0,32.5,9.2
2013-04-01,0.0,25.0,15.8
2013-04-02,0.0,24.1,10.9
2013-04-03,0.0,23.0,9.3
2013-04-04,0.0,23.2,11.5
2013-04-05,0.0,23.0,6.5
2013-04-06,0.0,30.0,12.4
2013-04-07,0.0,32.7,11.9
2013-04-08,0.0,33.8,11.1
2013-04-09,0.0,34.4,11.1
2013-04-10,0.0,30.5,16.7
2013-04-11,0.0,21.4,4.8
2013-04-12,0.0,22.7,4.6
2013-04-13,0.0,21.6,6.4
2013-04-14,0.0,29.6,6.1
2013-04-15,0.0,33.1,10.1
2013-04-16,0.0,33.7,14.1
2013-04-17,0.0,35.3,12.6
2013-04-18,0.0,33.2,14.7
2013-04-19,0.0,22.1,7.6
2013-04-20,0.0,20.6,0.5
2013-04-21,0.0,28.5,5.9
2013-04-22,0.0,27.1,5.1
2013-04-23,0.0,33.5,12.6
2013-04-24,0.2,23.5,11.9
2013-04-25,0.0,18.6,9.2
2013-04-26,4.6,30.6,9.8
2013-04-27,0.0,26.9,9.7
2013-04-28,0.0,22.6,13.2
2013-04-29,1.6,23.5,11.4
2013-04-30,0.0,30.1,10.5
2013-05-01,0.0,32.5,16.4
2013-05-02,0.2,27.1,13.8
2013-05-03,0.2,18.5,6.7
2013-05-04,0.0,22.0,3.6
2013-05-05,0.0,22.6,6.8
2013-05-06,0.8,23.5,8.7
2013-05-07,0.2,25.2,9.7
2013-05-08,0.0,32.2,9.9
2013-05-09,0.0,33.3,12.1
2013-05-10,0.0,31.4,12.7
2013-05-11,7.200000000000001,25.1,13.8
2013-05-12,44.2,14.4,11.8
2013-05-13,22.8,17.4,11.3
2013-05-14,16.799999999999997,21.2,11.1
2013-05-15,11.2,27.9,14.1
2013-05-16,0.0,31.7,16.5
2013-05-17,0.0,32.0,16.8
2013-05-18,0.0,32.2,18.6
2013-05-19,1.2000000000000002,33.7,17.1
2013-05-20,0.6000000000000001,34.2,16.9
2013-05-21,0.0,33.3,15.4
2013-05-22,0.2,27.0,15.5
2013-05-23,0.0,29.4,12.6
2013-05-24,16.2,25.3,14.6
2013-05-25,3.0,26.7,12.5
2013-05-26,0.0,24.5,13.4
2013-05-27,0.0,27.9,13.5
2013-05-28,0.0,30.7,13.1
2013-05-29,0.0,27.0,16.9
2013-05-30,0.0,32.0,15.4
2013-05-31,0.0,32.7,13.5
2013-06-01,0.0,34.1,17.3
2013-06-02,0.0,27.5,16.8
2013-06-03,0.0,26.8,14.6
2013-06-04,0.0,29.4,14.9
2013-06-05,0.0,30.6,14.3
2013-06-06,0.0,31.4,16.0
2013-06-07,0.0,27.2,13.5
2013-06-08,2.6,28.5,15.4
2013-06-09,0.0,31.2,13.7
2013-06-10,16.6,26.0,13.6
2013-06-11,0.6000000000000001,24.6,12.3
2013-06-12,1.8,26.9,14.6
2013-06-13,12.200000000000001,25.8,16.1
2013-06-14,4.199999999999999,25.5,16.8
2013-06-15,0.8,28.7,14.4
2013-06-16,0.0,28.7,14.8
2013-06-17,0.0,29.9,15.3
2013-06-18,0.0,28.5,14.6
2013-06-19,0.0,27.5,15.4
2013-06-20,0.0,26.7,14.9
2013-06-21,0.0,26.8,13.7
2013-06-22,0.0,27.8,13.1
2013-06-23,0.0,29.1,13.7
2013-06-24,0.0,29.2,14.4
2013-06-25,0.0,31.4,14.8
2013-06-26,0.0,33.1,15.7
2013-06-27,0.0,31.3,14.8
2013-06-28,0.0,29.4,16.1
2013-06-29,0.0,30.6,14.8
2013-06-30,19.799999999999997,30.6,15.3
2013-07-01,12.4,27.0,14.1
2013-07-02,14.8,20.8,16.1
2013-07-03,0.0,21.3,14.6
2013-07-04,0.2,23.2,13.7
2013-07-05,0.0,20.5,18.8
2013-07-06,0.0,,
2013-07-07,0.0,,
2013-07-08,0.0,,
2013-07-09,0.0,,
2013-07-10,0.0,,
2013-07-11,0.0,,
2013-07-12,0.0,,
2013-07-13,0.0,,
2013-07-14,0.0,,
2013-07-15,0.0,,
2013-07-16,0.0,,
2013-07-17,0.0,,
2013-07-18,0.0,,
2013-07-19,0.0,,
2013-07-20,0.0,,
2013-07-21,0.0,,
2013-07-22,0.0,,
2013-07-23,0.0,,
2013-07-24,0.0,,
2013-07-25,0.0,,
2013-07-26,0.0,,
2013-07-27,0.0,,
2013-07-28,0.0,,
2013-07-29,0.0,,
2013-07-30,0.0,,
2013-07-31,0.0,,
2013-08-01,0.0,37.0,18.5
2013-08-02,0.0,36.7,19.1
2013-08-03,0.0,36.9,20.4
2013-08-04,0.0,36.4,19.9
2013-08-05,0.8,38.0,18.2
2013-08-06,0.0,39.2,17.9
2013-08-07,0.0,39.5,19.2
2013-08-08,0.0,38.8,19.9
2013-08-09,0.0,38.1,20.4
2013-08-10,18.8,36.0,19.8
2013-08-11,5.2,32.7,19.9
2013-08-12,0.8,31.4,19.3
2013-08-13,0.0,35.2,18.2
2013-08-14,0.0,35.9,17.0
2013-08-15,0.0,36.6,16.0
2013-08-16,0.0,36.5,18.0
2013-08-17,0.0,37.0,17.9
2013-08-18,0.0,35.7,18.0
2013-08-19,0.0,34.1,16.3
2013-08-20,0.0,32.9,15.3
2013-08-21,0.0,30.7,18.9
2013-08-22,0.0,33.3,20.7
2013-08-23,0.0,32.4,22.4
2013-08-24,0.0,32.8,19.8
2013-08-25,35.2,33.7,19.0
2013-08-26,4.2,30.1,19.5
2013-08-27,4.4,29.9,20.4
2013-08-28,0.0,32.6,18.3
2013-08-29,0.0,34.4,16.6
2013-08-30,0.0,34.5,17.3
2013-08-31,0.0,34.9,18.3
2013-09-01,0.0,35.9,16.2
2013-09-02,0.0,33.6,17.2
2013-09-03,0.6000000000000001,33.1,23.2
2013-09-04,0.2,33.4,17.0
2013-09-05,0.8,33.3,17.6
2013-09-06,3.8000000000000003,31.9,18.7
2013-09-07,0.4,32.7,17.9
2013-09-08,17.0,31.1,18.4
2013-09-09,0.0,31.2,18.7
2013-09-10,0.2,29.6,19.2
2013-09-11,14.600000000000001,31.3,20.2
2013-09-12,1.2,30.0,18.5
2013-09-13,1.0,29.1,16.8
2013-09-14,46.2,24.9,18.6
2013-09-15,38.2,22.9,19.6
2013-09-16,150.4,23.7,20.5
2013-09-17,25.400000000000002,26.9,20.5
2013-09-18,0.0,28.0,20.1
2013-09-19,0.0,28.4,20.0
2013-09-20,0.0,31.2,19.6
2013-09-21,19.6,25.1,19.7
2013-09-22,0.0,27.2,16.2
2013-09-23,0.0,30.8,14.8
2013-09-24,0.0,34.5,15.0
2013-09-25,0.0,32.6,14.2
2013-09-26,0.0,30.9,15.0
2013-09-27,0.2,30.9,17.5
2013-09-28,1.0,33.2,19.9
2013-09-29,1.2,28.8,21.0
2013-09-30,0.0,28.7,21.0
2013-10-01,0.0,,
2013-10-02,0.0,,
2013-10-03,0.0,,
2013-10-04,0.0,,
2013-10-05,0.0,,
2013-10-06,0.0,,
2013-10-07,0.0,,
2013-10-08,0.0,,
2013-10-09,0.0,,
2013-10-10,0.0,,
