Fecha,Almacenamiento (hm3),Precipitacion (mm),T_Max (C),T_Min (C),Evaporacion (mm),Extracciones por Obra de Toma (m3/s),Extracciones por Vertedor (m3/s)
1/1/2008,292.222,0,14,9,2.65,1.79,0
1/2/2008,292.222,0,14,7,4.51,2.33,0
1/3/2008,292.222,0,16,0,3.31,1.335,0
1/4/2008,292.222,0,23,0,2.47,1.898,0
1/5/2008,291.944,0,25,8.5,4.32,2.46,0
1/6/2008,291.944,0,26,13,4.05,2.028,0
1/7/2008,291.944,0,27.5,16,6.23,2.913,0
1/8/2008,291.944,0,29,16.5,4.23,1.904,0
1/9/2008,291.667,0,25,14,4.28,2.384,0
1/10/2008,291.667,0,25,13,3.77,1.874,0
1/11/2008,291.667,0,24.5,9,4.92,1.931,0
1/12/2008,291.389,0,27,9,3.8,2.54,0
1/13/2008,291.389,0,20,9,5.16,2.06,0
1/14/2008,291.389,3.8,16,8.5,4.02,2.47,0
1/15/2008,291.111,10.5,12,10,1.25,2.358,0
1/16/2008,291.111,0,17.5,8,0.62,1.819,0
1/17/2008,291.111,2,16,8,1.23,2.34,0
1/18/2008,291.111,1.7,5.5,3.5,1.16,1.94,0
1/19/2008,290.833,0.1,13,3,1.26,2.402,0
1/20/2008,290.833,0,16.5,2,0.87,2.087,0
1/21/2008,290.833,0,24.5,1.5,2.28,2.467,0
1/22/2008,290.556,0,25,7.5,2.82,2.462,0
1/23/2008,290.278,1,20.5,13.5,4.06,1.815,0
1/24/2008,290.278,3,10,9.5,1.44,2.47,0
1/25/2008,290,0.2,11,4.5,0.25,1.933,0
1/26/2008,290,0,20,4.5,1.49,1.837,0
1/27/2008,289.737,0,24,8.5,0.83,2.743,0
1/28/2008,289.737,0,27.5,9.5,2.81,2.45,0
1/29/2008,289.474,27,23.5,10,4.22,1.9,0
1/30/2008,290.278,27,19.5,11,6.86,1.812,0
1/31/2008,290.278,0,22,11.5,4.62,2.5,0
2/1/2008,290,0,21,6,6.23,2.611,0
2/2/2008,290,0,28,6,5.06,2.886,0
2/3/2008,289.737,0,29,11,2.08,0,0
2/4/2008,289.737,0,31,15,4.7,3.555,0
2/5/2008,289.474,0,34.5,18,5.93,4.08,0
2/6/2008,288.947,0,21.5,11.5,6.86,3.149,0
2/7/2008,288.421,0,28,11,5.14,3.189,0
2/8/2008,288.158,0,28.5,10.5,5.52,3.27,0
2/9/2008,287.895,0,30,13,4.2,3.274,0
2/10/2008,287.368,0,25.5,13,4.05,3.865,0
2/11/2008,287.105,0,34.5,16.5,1.27,3.927,0
2/12/2008,287.105,0,27.5,17,7,3.657,0
2/13/2008,286.842,0,23,12,3.4,3.396,0
