Fecha,Almacenamiento (hm3),Precipitacion (mm),T_Max (C),T_Min (C),Evaporacion (mm),Extracciones por Obra de Toma (m3/s),Extracciones por Vertedor (m3/s)
1/1/2008,1120.45,0,13.5,11,3.73,3.22,0
1/2/2008,1117.752,0,9,6.5,4.83,4.73,0
1/3/2008,1117.752,0,16.5,-0.5,3.13,3.13,0
1/4/2008,1116.404,0,22,-1,2.02,4.26,0
1/5/2008,1116.404,0,24,4,2.14,4.22,0
1/6/2008,1115.057,0,26.5,8,2.18,4.72,0
1/7/2008,1115.057,0,27.5,9,3.04,5.35,0
1/8/2008,1115.057,0,27,13,2.83,3.6,0
1/9/2008,1115.057,0,20,11.5,5.2,6.16,0
1/10/2008,1115.057,0,22.5,10,2.05,6.16,0
1/11/2008,1113.709,0,22.5,6.5,5.4,6.1,0
1/12/2008,1112.36,0,25,5.5,2.67,5.86,0
1/13/2008,1112.36,0,19.5,8,5.38,0.8,0
1/14/2008,1111.01,15,11,6,3.05,7.39,0
1/15/2008,1111.013,26.4,10.5,9,0.56,4.3,0
1/16/2008,1112.36,0,17.5,7,2,5.72,0
1/17/2008,1112.36,7.7,11,7,1.39,4.23,0
1/18/2008,1112.36,1.1,7,2.5,1.3,4.6,0
1/19/2008,1112.36,0,11,2.5,1.1,3.46,0
1/20/2008,1112.36,0,15,0,1.87,4.12,0
1/21/2008,1111.013,0,20,0,1.53,4.35,0
1/22/2008,1111.013,0,23,8,1.8,3.57,0
1/23/2008,1111.013,0,15,9,1.31,4.59,0
1/24/2008,1111.013,2,8.5,8,2.42,6.09,0
1/25/2008,1109.666,1.25,10.5,4,0.02,5.89,0
1/26/2008,1109.666,0,18,4,1.05,5.45,0
1/27/2008,1109.666,0,21,5.5,0.85,4.03,0
1/28/2008,1108.318,0,25,8,2.44,7.08,0
1/29/2008,1108.318,0,30,12,2.06,4.75,0
1/30/2008,1106.97,0,17,12,5.06,5.98,0
1/31/2008,1106.97,0,20.5,12,1.39,5.99,0
2/1/2008,1105.622,0,21,2,7.26,6,0
2/2/2008,1105.622,0,24.5,2,2.65,6.27,0
2/3/2008,1104.27,0,30,11,3.34,5.86,0
2/4/2008,1104.27,0,32.5,12.5,4.25,5.46,0
2/5/2008,1104.27,0,34,16,4.2,5.37,0
2/6/2008,1102.93,0,20,11,7.2,6.53,0
2/7/2008,1101.579,0,25.5,5,4.7,5.53,0
2/8/2008,1101.579,0,29,9.5,3.53,6.66,0
2/9/2008,1100.23,0,27.5,9,3.91,6.55,0
2/10/2008,1100.23,0,25,9,3.46,7.48,0
2/11/2008,1098.883,0,24,18,2.51,5.6,0
2/12/2008,1098.883,0,28.5,11.5,4.19,5.63,0
2/13/2008,1097.536,0,22,7.5,5,6.6,0
2/14/2008,1097.536,0,28,7,4.64,6.75,0
2/15/2008,1096.188,0,30.5,10,4.06,6.75,0
2/16/2008,1096.19,0,32,15,4.35,6.31,0
2/17/2008,1094.84,0,30.5,12.5,7.45,6.172,0
2/18/2008,1094.84,0,18,12,3.7,6,0
2/19/2008,1092.145,4,16.5,13,3.32,6.11,0
2/20/2008,1092.145,0,21,12.5,0.73,5.4,0
2/21/2008,1092.145,0,29,15,0.77,5.67,0
2/22/2008,1092.145,0,27.5,14,4.13,6.56,0
2/23/2008,1090.8,0,32,14,6.3,6.55,0
2/24/2008,1089.45,0,27.5,15,4.5,6.62,0
2/25/2008,1089.449,0,33,15,4.15,6.7,0
2/26/2008,1088.101,0,23,15.5,5.56,5.27,0
2/27/2008,1086.754,0,21,5.5,6.62,6.7,0
2/28/2008,1086.754,0,27.5,5,7.03,6.73,0
2/29/2008,1084.058,0,27.5,7,4.88,6.72,0
3/1/2008,1082.71,0,25,12,4.45,6.44,0
3/2/2008,1082.71,0,32,17,3.96,7.49,0
3/3/2008,1081.36,0,21,17.5,4.27,5.49,0
3/4/2008,1078.667,0,20.5,4,11.57,4.04,0
3/5/2008,1078.667,0,28,4,4.85,4.65,0
3/6/2008,1077.319,0,28.5,7,3.84,4.62,0
