Fecha,Almacenamiento (hm3),Precipitacion (mm),T_Max (C),T_Min (C),Evaporacion (mm),Extracciones por Obra de Toma (m3/s),Extracciones por Vertedor (m3/s)
1/1/2008,30.4,0,14.5,3.5,1.5,0.98,0
1/2/2008,30.318,0,16,7,3.26,1.24,0
1/3/2008,30.233,0,16,0,1.02,0.96,0
1/4/2008,30.191,0,23.5,0,1.2,0.71,0
1/5/2008,30.106,0,27.5,1.5,2.51,0.71,0
1/6/2008,30.02,0,28.5,6.5,2.08,0.79,0
1/7/2008,29.979,0,29.5,6.5,2.19,0.89,0
1/8/2008,29.937,0,32,8,2.1,0.7,0
1/9/2008,29.937,0,24.5,8,2.28,0.71,0
1/10/2008,29.894,0,28.5,9.5,2.5,0.85,0
1/11/2008,29.767,0,26,5,2.64,0.88,0
1/12/2008,29.683,0,28.5,5,1.88,1.07,0
1/13/2008,29.556,0,22,5,2.65,0.78,0
1/14/2008,29.471,1.4,15.5,4,2.05,0.89,0
1/15/2008,29.429,5.4,12.5,9.5,0.91,0.71,0
1/16/2008,29.429,0,22,9.5,1.19,0.71,0
1/17/2008,29.386,1.9,14,7,2.11,0.71,0
1/18/2008,29.386,0.3,7.5,5,1.79,0.71,0
1/19/2008,29.344,0,14,5,1.52,0.72,0
1/20/2008,29.259,0,13,4,0.73,0.79,0
1/21/2008,29.217,0,23,3.5,1.71,0.9,0
1/22/2008,29.132,0,26.5,2,1.17,0.72,0
1/23/2008,29.132,0.3,23,7,2.02,0.71,0
1/24/2008,29.09,3.1,13,12,1.39,0.82,0
1/25/2008,29.09,0,14,7,1.09,0.73,0
1/26/2008,29.048,0,23,7,1.11,0.71,0
1/27/2008,29.005,0,25,8.5,1.12,0.79,0
1/28/2008,28.92,0,26.5,8.5,1.12,0.69,0
1/29/2008,28.92,0,34.5,11,2.27,0.71,0
1/30/2008,28.836,0,17.5,11,4.71,0.71,0
1/31/2008,28.793,0,26,9.5,1.74,0.7,0
2/1/2008,28.793,0,22.5,3.5,2.94,0.7,0
2/2/2008,28.836,0,30.5,3,3.04,0.7,0
2/3/2008,28.878,0,34,5,3.54,0.78,0
2/4/2008,28.92,0,37,8.5,3.64,0.88,0
2/5/2008,29.005,0,38.5,11.5,5.03,0.89,0
