Fecha,Elevacion (msnm),Almacenamiento (hm3),Area (ha),Extracciones por Obra de Toma (m3/s),Extracciones por Vertedor (m3/s),Evaporacion (mm),Precipitacion (mm)
9/1/1993,133.9,2.228,,,,,0.0
9/2/1993,134.0,2.305,,,,,0.0
9/3/1993,133.9,2.28,,,,,0.0
9/4/1993,134.86,3.666,,,,,0.0
9/5/1993,135.3,3.908,,,,,0.0
9/6/1993,135.85,4.587,,,,,4.0
9/7/1993,136.17,5.066,,,,,0.0
9/8/1993,141.15,17.351,,,,,0.0
9/9/1993,143.4,30.733,,,,,0.0
9/10/1993,143.65,32.603,,,,,7.7
9/11/1993,143.9,34.432,,,,,0.0
9/12/1993,143.9,34.432,,,,,0.0
9/13/1993,144.1,36.558,,,,,0.0
9/14/1993,144.15,37.254,,,,,7.2
9/15/1993,144.2,37.951,,,,,0.0
9/16/1993,144.55,42.829,,,,,0.0
9/17/1993,145.05,49.796,,,,,0.0
9/18/1993,145.3,53.277,,,,,0.0
9/19/1993,145.4,54.67,,,,,9.2
9/20/1993,145.45,55.36,,,,,41.0
9/21/1993,145.62,57.73,,,,,1.8
9/22/1993,146.2,67.547,,,,,0.0
9/23/1993,147.1,87.89,,,,,0.0
9/24/1993,147.74,102.364,,,,,0.0
9/25/1993,148.1,111.401,,,,,0.0
9/26/1993,148.26,116.82,,,,,3.5
9/27/1993,148.45,122.458,,,,,0.0
9/28/1993,148.7,126.825,,,,,0.0
9/29/1993,148.91,129.612,,,,,0.0
9/30/1993,149.04,141.097,,,,,0.0
10/1/1993,149.14,144.256,,,,,0.0
10/2/1993,149.21,146.468,,,,,0.0
10/3/1993,149.23,146.54,,,,,0.0
10/4/1993,149.25,147.731,,,,,0.0
10/5/1993,149.43,153.418,,,,,0.0
10/6/1993,149.5,155.629,,,,,0.0
10/7/1993,149.53,156.577,,,,,0.0
10/8/1993,149.6,158.788,,,,,0.0
10/9/1993,149.65,160.368,,,,,0.0
10/10/1993,149.69,161.631,,,,,0.0
10/11/1993,149.72,162.579,,,,,0.0
10/12/1993,149.76,163.843,,,,,0.0
10/13/1993,149.82,165.738,,,,,0.0
10/14/1993,149.85,166.686,,,,,0.0
10/15/1993,149.89,167.95,,,,,0.0
10/16/1993,149.92,168.898,,,,,0.0
10/17/1993,149.94,169.529,,,,,0.0
10/18/1993,149.98,170.793,,,,,0.0
10/19/1993,150.0,171.425,,,,,0.0
10/20/1993,150.02,172.238,,,,,0.3
10/21/1993,150.02,172.238,,,,,0.0
10/22/1993,150.04,173.051,,,,,0.0
10/23/1993,150.05,173.458,,,,,0.0
10/24/1993,150.06,173.864,,,,,0.0
10/25/1993,150.07,174.271,,,,,0.0
10/26/1993,150.1,175.49,,,,,0.0
10/27/1993,150.13,176.71,,,,,0.0
10/28/1993,150.14,177.116,,,,,0.0
10/29/1993,150.16,177.929,,,,,9.8
10/30/1993,150.18,178.743,,,,,0.0
10/31/1993,150.14,179.149,,,,,0.0
11/1/1993,150.2,179.556,,,,,0.0
11/2/1993,150.21,179.962,,,,,7.3
11/3/1993,150.23,180.775,,,,,0.5
11/4/1993,150.25,181.588,,,,,0.0
11/5/1993,150.29,181.214,,,,,1.5
11/6/1993,150.3,183.621,,,,,0.0
11/7/1993,150.31,184.027,,,,,0.0
11/8/1993,150.32,184.434,,,,,0.0
11/9/1993,150.34,185.247,,,,,4.0
11/10/1993,150.35,185.653,,,,,38.2
11/11/1993,150.38,186.873,,,,,0.3
11/12/1993,150.42,188.499,,,,,0.0
11/13/1993,150.46,190.125,,,,,0.0
11/14/1993,150.48,190.938,,,,,0.0
11/15/1993,150.5,191.751,,,,,1.0
11/16/1993,150.5,191.751,,,,,0.0
11/17/1993,150.51,192.158,,,,,0.0
11/18/1993,150.53,192.971,,,,,0.0
11/19/1993,150.53,192.971,,,,,0.0
11/20/1993,150.54,193.377,,,,,0.0
11/21/1993,150.55,193.784,,,,,0.0
11/22/1993,150.57,194.597,,,,,0.0
11/23/1993,150.6,195.816,,,,,0.0
11/24/1993,150.61,196.223,,,,,0.0
11/25/1993,150.63,197.036,,,,,0.8
11/26/1993,150.64,197.442,,,,,0.0
11/27/1993,150.65,197.849,,,,,0.0
11/28/1993,150.65,197.849,,,,,0.0
11/29/1993,150.69,199.475,,,,,0.0
11/30/1993,150.7,199.881,,,,,0.0
12/1/1993,150.71,200.288,,,,,0.0
12/2/1993,150.71,200.288,,,,,0.0
12/3/1993,150.71,200.288,,,,,0.0
12/4/1993,150.72,200.694,,,,,0.0
12/5/1993,150.72,200.694,,,,,0.0
12/6/1993,150.72,200.694,,,,,0.0
12/7/1993,150.74,201.507,,,,,0.0
12/8/1993,150.75,201.914,,,,,0.0
