Fecha,Elevacion (msnm),Almacenamiento (hm3),Area (ha),Extracciones por Obra de Toma (m3/s),Extracciones por Vertedor (m3/s),Evaporacion (mm),Precipitacion (mm)
1/1/1993,276.74,164.245,,,,,1.3
1/2/1993,276.73,164.053,,,,,0.6
1/3/1993,276.72,163.862,,,,,0.0
1/4/1993,276.72,163.862,,,,,0.0
1/5/1993,276.71,163.67,,,,,0.0
1/6/1993,276.71,163.67,,,,,0.0
1/7/1993,276.69,163.286,,,,,0.0
1/8/1993,276.68,163.095,,,,,0.0
1/9/1993,276.67,162.903,,,,,0.0
1/10/1993,276.66,162.711,,,,,2.0
1/11/1993,276.65,162.519,,,,,1.8
1/12/1993,276.64,162.328,,,,,0.0
1/13/1993,276.63,162.136,,,,,0.0
1/14/1993,276.62,161.944,,,,,0.0
1/15/1993,276.64,162.328,,,,,0.0
1/16/1993,276.65,162.519,,,,,0.0
1/17/1993,276.65,162.519,,,,,0.0
1/18/1993,276.66,162.711,,,,,0.0
1/19/1993,276.66,162.711,,,,,0.0
1/20/1993,276.66,162.711,,,,,0.0
1/21/1993,276.66,162.711,,,,,0.0
1/22/1993,276.66,162.711,,,,,0.0
1/23/1993,276.66,162.711,,,,,0.0
1/24/1993,276.65,162.519,,,,,0.0
1/25/1993,276.64,162.328,,,,,0.0
1/26/1993,276.63,162.136,,,,,0.0
1/27/1993,276.62,161.944,,,,,0.0
1/28/1993,276.61,161.752,,,,,0.2
1/29/1993,276.6,161.561,,,,,0.0
1/30/1993,276.58,161.177,,,,,0.0
1/31/1993,276.57,160.985,,,,,0.0
2/1/1993,276.55,160.602,,,,,0.0
2/2/1993,276.54,160.41,,,,,1.9
2/3/1993,276.52,160.027,,,,,0.0
2/4/1993,276.51,159.835,,,,,8.5
2/5/1993,276.5,159.643,,,,,2.5
2/6/1993,276.5,159.643,,,,,0.0
2/7/1993,276.49,159.464,,,,,0.0
2/8/1993,276.48,159.286,,,,,0.0
2/9/1993,276.47,159.107,,,,,0.0
2/10/1993,276.45,158.75,,,,,0.0
2/11/1993,276.44,158.572,,,,,0.0
2/12/1993,276.43,158.393,,,,,0.0
2/13/1993,276.41,158.036,,,,,0.0
2/14/1993,276.4,157.857,,,,,0.0
2/15/1993,276.39,157.679,,,,,0.0
2/16/1993,276.37,157.321,,,,,0.0
2/17/1993,276.36,157.143,,,,,2.5
2/18/1993,276.34,156.786,,,,,1.0
2/19/1993,276.32,156.429,,,,,0.2
2/20/1993,276.3,156.071,,,,,0.0
2/21/1993,276.28,155.714,,,,,0.0
2/22/1993,276.26,155.357,,,,,0.0
2/23/1993,276.24,155.0,,,,,0.0
2/24/1993,276.22,154.643,,,,,0.0
2/25/1993,276.2,154.286,,,,,0.0
2/26/1993,276.19,154.107,,,,,0.0
2/27/1993,276.18,153.928,,,,,6.0
2/28/1993,276.17,153.75,,,,,1.0
3/1/1993,276.16,153.571,,,,,0.0
3/2/1993,276.15,153.393,,,,,5.0
3/3/1993,276.14,153.214,,,,,0.0
3/4/1993,276.12,152.857,,,,,1.0
3/5/1993,276.1,152.5,,,,,16.0
3/6/1993,276.09,152.321,,,,,0.0
3/7/1993,276.07,151.964,,,,,0.0
3/8/1993,276.05,151.607,,,,,0.0
3/9/1993,276.03,151.25,,,,,0.0
3/10/1993,276.01,150.893,,,,,0.0
3/11/1993,275.99,150.541,,,,,0.0
3/12/1993,275.97,150.195,,,,,0.0
3/13/1993,275.95,149.85,,,,,0.0
3/14/1993,275.93,149.504,,,,,0.0
3/15/1993,275.91,149.158,,,,,0.0
3/16/1993,275.89,148.812,,,,,0.0
3/17/1993,275.86,148.293,,,,,0.0
