Fecha,Elevacion (msnm),Almacenamiento (hm3),Area (ha),Extracciones por Obra de Toma (m3/s),Extracciones por Vertedor (m3/s),Evaporacion (mm),Precipitacion (mm)
1/1/1993,443.48,20.63,,,,,4.5
1/2/1993,443.49,20.66,,,,,0.0
1/3/1993,443.51,20.72,,,,,1.0
1/4/1993,443.53,20.77,,,,,0.0
1/5/1993,443.55,20.83,,,,,0.0
1/6/1993,443.6,20.98,,,,,0.0
1/7/1993,443.64,21.1,,,,,0.0
1/8/1993,443.68,21.22,,,,,0.0
1/9/1993,443.72,21.34,,,,,2.0
1/10/1993,443.73,21.46,,,,,1.0
1/11/1993,443.8,21.58,,,,,1.0
1/12/1993,443.84,21.7,,,,,0.0
1/13/1993,443.88,21.82,,,,,0.0
1/14/1993,443.89,21.85,,,,,0.0
1/15/1993,443.79,21.55,,,,,0.0
1/16/1993,443.68,21.22,,,,,0.0
1/17/1993,443.59,20.95,,,,,0.0
1/18/1993,443.5,20.69,,,,,0.0
1/19/1993,443.41,20.44,,,,,0.0
1/20/1993,443.35,20.27,,,,,0.0
1/21/1993,443.27,20.04,,,,,0.0
1/22/1993,443.19,19.82,,,,,0.0
1/23/1993,443.11,19.6,,,,,0.0
1/24/1993,443.08,19.51,,,,,0.0
1/25/1993,443.07,19.48,,,,,0.0
1/26/1993,443.05,19.43,,,,,0.0
1/27/1993,443.03,19.38,,,,,0.0
1/28/1993,443.04,19.4,,,,,0.0
1/29/1993,443.05,19.43,,,,,1.0
1/30/1993,443.04,19.4,,,,,1.0
1/31/1993,443.04,19.4,,,,,0.0
2/1/1993,443.03,19.38,,,,,0.0
2/2/1993,443.03,19.38,,,,,1.0
2/3/1993,443.03,19.38,,,,,0.0
2/4/1993,443.03,19.38,,,,,13.0
2/5/1993,443.03,19.38,,,,,3.0
2/6/1993,443.04,19.4,,,,,0.0
2/7/1993,443.04,19.4,,,,,0.0
2/8/1993,443.04,19.4,,,,,0.0
2/9/1993,443.04,19.4,,,,,0.0
2/10/1993,443.04,19.4,,,,,0.0
2/11/1993,443.04,19.4,,,,,0.0
2/12/1993,443.03,19.38,,,,,0.0
2/13/1993,443.02,19.35,,,,,0.0
2/14/1993,443.02,19.35,,,,,0.0
2/15/1993,443.01,19.33,,,,,0.0
2/16/1993,443.0,19.3,,,,,0.0
2/17/1993,443.0,19.3,,,,,2.0
2/18/1993,442.98,19.26,,,,,1.0
2/19/1993,442.97,19.23,,,,,0.0
2/20/1993,442.95,19.18,,,,,0.0
2/21/1993,442.94,19.16,,,,,0.0
2/22/1993,442.93,19.14,,,,,0.0
2/23/1993,442.93,19.14,,,,,0.0
2/24/1993,442.92,19.11,,,,,0.0
2/25/1993,442.91,19.09,,,,,0.0
2/26/1993,442.91,19.09,,,,,2.0
2/27/1993,442.9,19.06,,,,,5.0
2/28/1993,442.9,19.06,,,,,0.0
3/1/1993,442.9,19.06,,,,,0.0
3/2/1993,442.9,19.06,,,,,1.0
3/3/1993,442.89,19.04,,,,,0.0
3/4/1993,442.89,19.04,,,,,10.0
3/5/1993,442.9,19.06,,,,,4.0
3/6/1993,442.9,19.06,,,,,0.0
3/7/1993,442.9,19.06,,,,,0.0
3/8/1993,442.89,19.04,,,,,0.0
3/9/1993,442.88,19.02,,,,,0.0
3/10/1993,442.88,19.02,,,,,0.0
3/11/1993,442.86,18.97,,,,,0.0
3/12/1993,442.85,18.94,,,,,1.0
3/13/1993,442.84,18.92,,,,,0.0
3/14/1993,442.82,18.87,,,,,0.0
3/15/1993,442.8,18.82,,,,,0.0
3/16/1993,442.79,18.8,,,,,0.0
3/17/1993,442.79,18.8,,,,,1.0
3/18/1993,442.78,18.78,,,,,0.0
3/19/1993,442.78,18.78,,,,,0.0
3/20/1993,442.77,18.75,,,,,5.7
3/21/1993,442.77,18.75,,,,,4.0
3/22/1993,442.77,18.75,,,,,0.0
3/23/1993,442.77,18.75,,,,,5.0
3/24/1993,442.77,18.75,,,,,0.0
3/25/1993,442.77,18.75,,,,,1.0
3/26/1993,442.77,18.75,,,,,1.0
3/27/1993,442.76,18.73,,,,,0.0
3/28/1993,442.75,18.7,,,,,0.0
3/29/1993,442.75,18.7,,,,,0.0
3/30/1993,442.74,18.68,,,,,0.0
3/31/1993,442.72,18.66,,,,,0.0
4/1/1993,442.72,18.63,,,,,0.0
4/2/1993,442.72,18.63,,,,,0.0
4/3/1993,442.71,18.61,,,,,0.0
4/4/1993,442.7,18.58,,,,,0.0
4/5/1993,442.69,18.56,,,,,0.0
4/6/1993,442.67,18.51,,,,,0.0
4/7/1993,442.66,18.49,,,,,0.0
4/8/1993,442.65,18.46,,,,,0.0
4/9/1993,442.63,18.42,,,,,0.0
4/10/1993,442.61,18.37,,,,,0.0
4/11/1993,442.6,18.34,,,,,0.0
4/12/1993,442.59,18.32,,,,,0.0
4/13/1993,442.57,18.27,,,,,0.0
4/14/1993,442.56,18.25,,,,,0.0
4/15/1993,442.52,18.15,,,,,0.0
4/16/1993,442.47,18.03,,,,,0.0
4/17/1993,442.42,17.91,,,,,0.0
4/18/1993,442.39,17.84,,,,,0.0
4/19/1993,442.35,17.74,,,,,0.0
4/20/1993,442.31,17.65,,,,,2.0
4/21/1993,442.28,17.58,,,,,0.01
4/22/1993,442.25,17.5,,,,,0.0
4/23/1993,442.22,17.43,,,,,0.0
4/24/1993,442.17,17.31,,,,,0.0
4/25/1993,442.13,17.22,,,,,20.0
