nombre_estacion,fecha,DirViento,DirRafaga,RapViento,RapRafaga,TempAire,HumRelativa,PresBarometric,Precipitacion,RadSolar
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 0:00,16,204,0,0,24.4,46,999.8,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 0:10,16,204,0,0,23.8,48,1000,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 0:20,16,204,0,0,23.2,50,1000.1,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 0:30,16,204,0,0,22.5,52,1000.5,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 0:40,16,204,0,0,21.8,54,1000.8,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 0:50,16,204,0,0,21,56,1001.1,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 1:00,16,204,0,0,20.8,56,1001.5,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 1:10,16,204,0,0,20.6,56,1001.8,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 1:20,16,204,0,0,20.8,55,1002.2,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 1:30,16,204,0,0,21,53,1002.6,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 1:40,16,204,0,0,20.9,51,1002.9,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 1:50,16,204,0,0,20.7,49,1003.2,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 2:00,16,204,0,0,20.5,47,1003.5,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 2:10,16,204,0,0,20.5,46,1003.9,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 2:20,16,204,0,0,20.3,46,1004.2,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 2:30,16,204,0,0,20.1,46,1004.4,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 2:40,16,204,0,0,20.1,45,1004.6,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 2:50,16,204,0,0,20,45,1004.9,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 3:00,16,204,0,0,20,45,1005.2,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 3:10,16,204,0,0,19.9,46,1005.5,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 3:20,16,204,0,0,19.7,46,1005.9,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 3:30,16,204,0,0,19.5,46,1006.2,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 3:40,16,204,0,0,19.5,46,1006.6,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 3:50,16,204,0,0,19.5,45,1006.9,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 4:00,16,204,0,0,19.5,44,1007.2,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 4:10,16,204,0,0,19.4,44,1007.6,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 4:20,15,204,0,0,19.4,43,1007.8,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 4:30,16,204,0,0,19.3,43,1008.1,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 4:40,16,204,0,0,19.4,41,1008.4,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 4:50,16,204,0,0,19.4,40,1008.5,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 5:00,16,204,0,0,19.1,40,1008.6,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 5:10,16,204,0,0,18.9,40,1008.9,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 5:20,16,204,0,0,18.6,41,1009.1,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 5:30,15,204,0,0,18.4,41,1009.4,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 5:40,16,204,0,0,18.2,41,1009.6,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 5:50,16,204,0,0,17.9,42,1009.7,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 6:00,16,204,0,0,17.7,42,1009.6,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 6:10,16,204,0,0,17.6,43,1009.7,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 6:20,16,204,0,0,17.4,43,1009.8,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 6:30,16,204,0,0,17.4,43,1009.9,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 6:40,16,204,0,0,17.2,43,1010,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 6:50,16,204,0,0,17,43,1010.2,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 7:00,16,204,0,0,16.8,43,1010.3,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 7:10,16,204,0,0,16.7,44,1010.3,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 7:20,15,204,0,0,16.4,44,1010.4,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 7:30,16,204,0,0,16.3,44,1010.5,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 7:40,16,204,0,0,16.2,44,1010.6,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 7:50,16,204,0,0,15.9,44,1010.8,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 8:00,16,204,0,0,15.7,45,1011,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 8:10,16,204,0,0,15.3,46,1011.1,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 8:20,16,204,0,0,14.9,46,1011,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 8:30,16,204,0,0,14.6,47,1011.1,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 8:40,16,204,0,0,14.3,49,1011.4,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 8:50,16,204,0,0,14,50,1011.4,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 9:00,16,204,0,0,13.7,51,1011.5,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 9:10,16,204,0,0,13.4,52,1011.6,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 9:20,16,204,0,0,12.9,54,1011.6,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 9:30,16,204,0,0,12.5,55,1011.7,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 9:40,16,204,0,0,12.2,57,1011.9,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 9:50,16,204,0,0,11.9,58,1011.9,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 10:00,16,204,0,0,11.6,59,1011.9,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 10:10,16,204,0,0,11.2,61,1012.1,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 10:20,16,204,0,0,11,62,1012.2,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 10:30,16,204,0,0,10.7,64,1012.1,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 10:40,16,204,0,0,10.3,66,1012.3,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 10:50,16,204,0,0,10,66,1012.4,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 11:00,16,204,0,0,9.7,65,1012.6,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 11:10,16,204,0,0,9.4,67,1012.8,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 11:20,16,204,0,0,9.2,68,1012.9,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 11:30,16,204,0,0,8.9,68,1013,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 11:40,16,204,0,0,8.8,69,1013.2,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 11:50,16,204,0,0,8.6,69,1013.3,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 12:00,16,204,0,0,8.4,70,1013.3,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 12:10,16,204,0,0,8.2,71,1013.5,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 12:20,16,204,0,0,8.1,72,1013.6,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 12:30,16,204,0,0,7.9,72,1013.6,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 12:40,16,204,0,0,7.6,73,1013.7,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 12:50,16,204,0,0,7.4,73,1013.8,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 13:00,16,204,0,0,7.3,73,1014,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 13:10,16,204,0,0,7.2,73,1014.2,0,0
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 13:20,16,204,0,0,7,74,1014.4,0,1
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 13:30,16,204,0,0,6.9,74,1014.6,0,4
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 13:40,16,204,0,0,6.9,74,1014.8,0,15
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 13:50,16,204,0,0,6.8,74,1015,0,23
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 14:00,16,204,0,0,6.8,74,1015.1,0,63
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 14:10,16,204,0,0,7,72,1015.4,0,76
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 14:20,16,204,0,0,7.1,72,1015.4,0,75
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 14:30,16,204,0,0,7.1,72,1015.6,0,101
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 14:40,16,204,0,0,7.2,71,1015.6,0,161
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 14:50,16,204,0,0,7.5,71,1015.7,0,196
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 15:00,16,204,0,0,7.7,70,1015.8,0,170
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 15:10,16,204,0,0,7.9,69,1015.9,0,311
"PRESA EL CUCHILLO, NL (ECHA)",1/1/2010 15:20,16,204,0,0,8.3,67,1016,0,316
