nombre_estacion,fecha,DirViento,DirRafaga,RapViento,RapRafaga,TempAire,HumRelativa,Precipitacion,PresBarometric,RadSolar
"PRESA EL CUCHILLO, NL (ECHA)",10/1/2010 0:00,16,204,0,0,30.7,43,0,996.1,63
"PRESA EL CUCHILLO, NL (ECHA)",10/1/2010 0:10,16,204,0,0,30.3,44,0,996.1,35
"PRESA EL CUCHILLO, NL (ECHA)",10/1/2010 0:20,16,204,0,0,29.8,46,0,996.2,11
"PRESA EL CUCHILLO, NL (ECHA)",10/1/2010 0:30,16,204,0,0,29.2,47,0,996.4,0
"PRESA EL CUCHILLO, NL (ECHA)",10/1/2010 0:40,16,204,0,0,28.6,49,0,996.4,0
"PRESA EL CUCHILLO, NL (ECHA)",10/1/2010 0:50,16,204,0,0,28.1,51,0,996.5,0
"PRESA EL CUCHILLO, NL (ECHA)",10/1/2010 1:00,16,204,0,0,27.6,53,0,996.6,0
"PRESA EL CUCHILLO, NL (ECHA)",10/1/2010 1:10,16,204,0,0,27.3,53,0,996.7,0
"PRESA EL CUCHILLO, NL (ECHA)",10/1/2010 1:20,16,204,0,0,26.8,55,0,996.8,0
"PRESA EL CUCHILLO, NL (ECHA)",10/1/2010 1:30,16,204,0,0,26.7,56,0,996.9,0
"PRESA EL CUCHILLO, NL (ECHA)",10/1/2010 1:40,16,204,0,0,26.5,57,0,997.1,0
"PRESA EL CUCHILLO, NL (ECHA)",10/1/2010 1:50,16,204,0,0,26.1,60,0,997.2,0
"PRESA EL CUCHILLO, NL (ECHA)",10/1/2010 2:00,16,204,0,0,25.7,64,0,997.4,0
"PRESA EL CUCHILLO, NL (ECHA)",10/1/2010 2:10,16,204,0,0,25.2,65,0,997.6,0
"PRESA EL CUCHILLO, NL (ECHA)",10/1/2010 2:20,16,204,0,0,24.7,66,0,997.6,0
"PRESA EL CUCHILLO, NL (ECHA)",10/1/2010 2:30,16,204,0,0,24.5,66,0,997.7,0
"PRESA EL CUCHILLO, NL (ECHA)",10/1/2010 2:40,16,204,0,0,24.8,66,0,997.8,0
"PRESA EL CUCHILLO, NL (ECHA)",10/1/2010 2:50,16,204,0,0,24.9,68,0,998,0
"PRESA EL CUCHILLO, NL (ECHA)",10/1/2010 3:00,16,204,0,0,24.6,68,0,998.1,0
"PRESA EL CUCHILLO, NL (ECHA)",10/1/2010 3:10,16,204,0,0,24.5,69,0,998.2,0
"PRESA EL CUCHILLO, NL (ECHA)",10/1/2010 3:20,16,204,0,0,24.3,70,0,998.2,0
"PRESA EL CUCHILLO, NL (ECHA)",10/1/2010 3:30,16,204,0,0,24.3,72,0,998.3,0
"PRESA EL CUCHILLO, NL (ECHA)",10/1/2010 3:40,16,204,0,0,24.1,73,0,998.3,0
"PRESA EL CUCHILLO, NL (ECHA)",10/1/2010 3:50,16,204,0,0,23.9,74,0,998.3,0
"PRESA EL CUCHILLO, NL (ECHA)",10/1/2010 4:00,16,204,0,0,23.8,75,0,998.4,0
"PRESA EL CUCHILLO, NL (ECHA)",10/1/2010 4:10,16,204,0,0,23.7,79,0,998.5,0
"PRESA EL CUCHILLO, NL (ECHA)",10/1/2010 4:20,16,204,0,0,23.6,80,0,998.5,0
"PRESA EL CUCHILLO, NL (ECHA)",10/1/2010 4:30,16,204,0,0,23.4,80,0,998.5,0
"PRESA EL CUCHILLO, NL (ECHA)",10/1/2010 4:40,16,204,0,0,23.1,82,0,998.6,0
"PRESA EL CUCHILLO, NL (ECHA)",10/1/2010 4:50,16,204,0,0,22.6,84,0,998.7,0
"PRESA EL CUCHILLO, NL (ECHA)",10/1/2010 5:00,16,204,0,0,22.1,86,0,998.7,0
"PRESA EL CUCHILLO, NL (ECHA)",10/1/2010 5:10,16,204,0,0,21.8,88,0,998.7,0
"PRESA EL CUCHILLO, NL (ECHA)",10/1/2010 5:20,16,204,0,0,21.6,89,0,998.7,0
"PRESA EL CUCHILLO, NL (ECHA)",10/1/2010 5:30,16,204,0,0,21.7,89,0,998.6,0
"PRESA EL CUCHILLO, NL (ECHA)",10/1/2010 5:40,16,204,0,0,21.9,88,0,998.6,0
"PRESA EL CUCHILLO, NL (ECHA)",10/1/2010 5:50,16,204,0,0,21.8,88,0,998.6,0
"PRESA EL CUCHILLO, NL (ECHA)",10/1/2010 6:00,16,204,0,0,21.6,89,0,998.6,0
"PRESA EL CUCHILLO, NL (ECHA)",10/1/2010 6:10,16,204,0,0,21.5,89,0,998.5,0
"PRESA EL CUCHILLO, NL (ECHA)",10/1/2010 6:20,16,204,0,0,21.6,90,0,998.5,0
