Fecha Local,Fecha UTC,Dirección del Viento (grados),Dirección de ráfaga (grados),Rapidez de viento (km/h),Rapidez de ráfaga (km/h),Temperatura del Aire (°C),Humedad relativa (%),Presión Atmosférica (hpa),Precipitación (mm),Radiación Solar (W/m²)
1/1/2024 0:00,1/1/2024 6:00,132,132,0,0,17.8,78,1000.6,0,0
1/1/2024 0:10,1/1/2024 6:10,132,132,0,0,17.6,78,1000.6,0,0
1/1/2024 0:20,1/1/2024 6:20,132,132,0,0,17.1,79,1000.5,0,0
1/1/2024 0:30,1/1/2024 6:30,132,132,0,0,16.9,81,1000.5,0,0
1/1/2024 0:40,1/1/2024 6:40,142,132,0,0,16.8,83,1000.6,0,0
1/1/2024 0:50,1/1/2024 6:50,171,172,0,0,16.6,84,1000.5,0,0
1/1/2024 1:00,1/1/2024 7:00,171,171,0,0,16.6,84,1000.6,0,0
1/1/2024 1:10,1/1/2024 7:10,171,171,0,0,16.6,84,1000.6,0,0
1/1/2024 1:20,1/1/2024 7:20,171,172,0,0,16.7,84,1000.6,0,0
1/1/2024 1:30,1/1/2024 7:30,171,172,0,0,16.6,82,1000.7,0,0
1/1/2024 1:40,1/1/2024 7:40,171,171,0,0,16.6,82,1000.8,0,0
1/1/2024 1:50,1/1/2024 7:50,171,171,0,0,16.6,83,1000.8,0,0
1/1/2024 2:00,1/1/2024 8:00,171,171,0,0,16.5,84,1000.9,0,0
1/1/2024 2:10,1/1/2024 8:10,171,171,0,0,16.4,85,1000.8,0,0
1/1/2024 2:20,1/1/2024 8:20,171,172,0,0,16.4,85,1000.8,0,0
1/1/2024 2:30,1/1/2024 8:30,171,172,0,0,16.3,84,1000.9,0,0
1/1/2024 2:40,1/1/2024 8:40,171,171,0,0,16.2,84,1000.8,0,0
1/1/2024 2:50,1/1/2024 8:50,171,172,0,0,16,84,1000.8,0,0
1/1/2024 3:00,1/1/2024 9:00,140,171,0,0,16,84,1000.8,0,0
1/1/2024 3:10,1/1/2024 9:10,139,139,0,0,16.1,85,1000.8,0,0
1/1/2024 3:20,1/1/2024 9:20,139,139,0,0,16.1,85,1000.9,0,0
1/1/2024 3:30,1/1/2024 9:30,140,139,0,0,16.1,85,1000.9,0,0
1/1/2024 3:40,1/1/2024 9:40,143,143,0,0,16.1,85,1001,0,0
1/1/2024 3:50,1/1/2024 9:50,143,143,0,0,16,85,1001.1,0,0
1/1/2024 4:00,1/1/2024 10:00,143,143,0,0,15.9,86,1001.2,0,0
1/1/2024 4:10,1/1/2024 10:10,143,143,0,0,15.8,86,1001.1,0,0
1/1/2024 4:20,1/1/2024 10:20,143,143,0,0,15.6,86,1001,0,0
1/1/2024 4:30,1/1/2024 10:30,143,143,0,0,15.4,86,1001,0,0
1/1/2024 4:40,1/1/2024 10:40,143,143,0,0,15.2,86,1001.1,0,0
1/1/2024 4:50,1/1/2024 10:50,148,142,0,0,15.1,86,1001.1,0,0
1/1/2024 5:00,1/1/2024 11:00,149,152,0,0,15.1,87,1001.1,0,0
1/1/2024 5:10,1/1/2024 11:10,154,142,0,0,15.2,87,1001.2,0,0
1/1/2024 5:20,1/1/2024 11:20,154,157,0,0,15.3,88,1001.1,0,0
1/1/2024 5:30,1/1/2024 11:30,136,135,0,0,15.2,88,1001.2,0,0
1/1/2024 5:40,1/1/2024 11:40,138,137,0,0,15.1,88,1001.2,0,0
1/1/2024 5:50,1/1/2024 11:50,139,139,0,0,14.9,88,1001.4,0,0
1/1/2024 6:00,1/1/2024 12:00,139,139,0,0,14.8,87,1001.7,0,0
1/1/2024 6:10,1/1/2024 12:10,139,139,0,0,14.5,86,1002,0,0
1/1/2024 6:20,1/1/2024 12:20,139,139,0,0,14.1,86,1002.3,0,0
1/1/2024 6:30,1/1/2024 12:30,157,139,0,0,13.7,87,1002.5,0,0
1/1/2024 6:40,1/1/2024 12:40,181,181,0,0,13.4,87,1002.8,0,0
1/1/2024 6:50,1/1/2024 12:50,181,181,0,0,12.8,88,1003,0,0
1/1/2024 7:00,1/1/2024 13:00,181,181,0,0,12.4,88,1002.9,0,0
1/1/2024 7:10,1/1/2024 13:10,181,181,0,0,12.1,89,1003.1,0,0
1/1/2024 7:20,1/1/2024 13:20,181,181,0,0,11.8,91,1003.2,0,0
1/1/2024 7:30,1/1/2024 13:30,181,181,0,0,11.7,92,1003.3,0,2
1/1/2024 7:40,1/1/2024 13:40,181,181,0,0,11.8,92,1003.4,0,10
1/1/2024 7:50,1/1/2024 13:50,181,181,0,0,11.9,93,1003.5,0,24
1/1/2024 8:00,1/1/2024 14:00,181,181,0,0,12.1,93,1003.8,0,51
1/1/2024 8:10,1/1/2024 14:10,194,181,0,0,12.2,94,1003.9,0,66
1/1/2024 8:20,1/1/2024 14:20,306,219,0,0,12.4,93,1003.9,0,91
1/1/2024 8:30,1/1/2024 14:30,341,327,0,0,12.6,93,1004,0,113
1/1/2024 8:40,1/1/2024 14:40,355,352,0,0,12.9,93,1004.2,0,142
1/1/2024 8:50,1/1/2024 14:50,8,3,0,0,13.4,92,1004.5,0,175
1/1/2024 9:00,1/1/2024 15:00,6,354,0,0,13.9,90,1004.6,0,192
1/1/2024 9:10,1/1/2024 15:10,5,24,0,0,14.4,87,1004.6,0,224
1/1/2024 9:20,1/1/2024 15:20,8,2,0,0,14.9,84,1004.7,0,260
1/1/2024 9:30,1/1/2024 15:30,4,20,0,0,15.3,81,1004.8,0,296
1/1/2024 9:40,1/1/2024 15:40,3,1,0,0,15.6,79,1005,0,275
1/1/2024 9:50,1/1/2024 15:50,4,4,0,0,15.8,77,1005.2,0,280
1/1/2024 10:00,1/1/2024 16:00,2,350,0,0,16,76,1005.3,0,305
1/1/2024 10:10,1/1/2024 16:10,8,13,0,0,16.2,75,1005.4,0,323
1/1/2024 10:20,1/1/2024 16:20,355,355,0,0,16.7,73,1005.5,0,283
1/1/2024 10:30,1/1/2024 16:30,5,26,0,0,17,71,1005.5,0,289
1/1/2024 10:40,1/1/2024 16:40,353,349,0,0,17.3,69,1005.8,0,304
1/1/2024 10:50,1/1/2024 16:50,1,18,0,0,17.6,68,1005.8,0,354
1/1/2024 11:00,1/1/2024 17:00,3,0,0,0,17.9,68,1005.8,0,370
1/1/2024 11:10,1/1/2024 17:10,9,3,0,0,18.4,66,1005.7,0,418
1/1/2024 11:20,1/1/2024 17:20,358,5,0,0,18.8,64,1005.8,0,405
1/1/2024 11:30,1/1/2024 17:30,349,349,0,0,19.1,63,1005.8,0,382
1/1/2024 11:40,1/1/2024 17:40,350,334,0,0,19.2,63,1005.5,0,447
1/1/2024 11:50,1/1/2024 17:50,351,325,0,0,19.5,62,1005.4,0,379
1/1/2024 12:00,1/1/2024 18:00,351,15,0,0,19.6,62,1005.3,0,440
1/1/2024 12:10,1/1/2024 18:10,354,353,0,0,19.8,62,1005.3,0,478
1/1/2024 12:20,1/1/2024 18:20,355,5,0,0,20.1,61,1005.2,0,454
1/1/2024 12:30,1/1/2024 18:30,360,9,0,0,20.3,60,1005,0,480
1/1/2024 12:40,1/1/2024 18:40,349,350,0,0,20.5,59,1004.8,0,466
1/1/2024 12:50,1/1/2024 18:50,358,3,0,0,20.8,59,1004.5,0,431
1/1/2024 13:00,1/1/2024 19:00,357,338,0,0,20.9,59,1004.3,0,474
1/1/2024 13:10,1/1/2024 19:10,351,344,0,0,21,58,1004.2,0,495
1/1/2024 13:20,1/1/2024 19:20,6,341,0,0,21.2,58,1003.9,0,488
1/1/2024 13:30,1/1/2024 19:30,353,10,0,0,21.4,57,1003.9,0,453
1/1/2024 13:40,1/1/2024 19:40,11,3,0,0,21.6,57,1003.9,0,389
1/1/2024 13:50,1/1/2024 19:50,12,24,0,0,21.7,57,1003.8,0,374
1/1/2024 14:00,1/1/2024 20:00,3,341,0,0,21.9,56,1003.7,0,357
1/1/2024 14:10,1/1/2024 20:10,5,355,0,0,21.8,56,1003.7,0,394
1/1/2024 14:20,1/1/2024 20:20,358,338,0,0,22,55,1003.6,0,476
1/1/2024 14:30,1/1/2024 20:30,352,12,0,0,22.2,55,1003.4,0,431
1/1/2024 14:40,1/1/2024 20:40,11,354,0,0,22.2,56,1003.2,0,538
1/1/2024 14:50,1/1/2024 20:50,27,341,0,0,22.6,56,1003.1,0,505
