fecha,DirViento,DirRafaga,RapViento,RapRafaga,TempAire,HumRelativa,PresBarometric,Precipitacion,RadSolar,TempComb
6/1/2013 0:00,121,112,9,13.7,24.2,77,853.2,0,103,24.6
6/1/2013 0:10,116,104,8.8,13.3,24.2,77,853.3,0,92,24.5
6/1/2013 0:20,120,117,6.9,11.2,24.2,76,853.3,0,95,24.5
6/1/2013 0:30,118,114,6.5,9.4,24.3,76,853.4,0,91,24.6
6/1/2013 0:40,121,121,7.3,11.5,24.1,76,853.4,0,56,24.2
6/1/2013 0:50,124,113,8.3,11.5,23.9,77,853.5,0,58,24
6/1/2013 1:00,127,124,9.3,14.4,23.8,76,853.6,0,47,23.9
6/1/2013 1:10,126,105,8.1,13.3,23.6,77,853.7,0,22,23.3
6/1/2013 1:20,141,129,6.7,13,23.4,77,853.7,0,10,23
6/1/2013 1:30,147,136,6.1,10.4,23.2,77,853.8,0,8,22.6
6/1/2013 1:40,159,133,4.8,9.4,23,79,853.9,0,2,22.1
6/1/2013 1:50,170,183,4.3,11.5,22.7,79,853.9,0,0,21.7
6/1/2013 2:00,295,315,1.2,3.2,22.3,82,854,0,0,21
6/1/2013 2:10,277,277,2.5,6.5,21.5,85,854,0,0,20.3
6/1/2013 2:20,284,277,5.9,8.3,21,86,854,0,0,19.9
6/1/2013 2:30,287,276,5.5,8.3,20.6,87,854.1,0,0,19.4
6/1/2013 2:40,264,282,2.7,6.5,20.3,88,854.2,0,0,19
6/1/2013 2:50,297,273,5.6,7.6,20,90,854.2,0,0,18.8
6/1/2013 3:00,280,268,4.7,7.2,19.8,89,854.2,0,0,18.5
6/1/2013 3:10,292,282,3.5,6.5,19.4,90,854.3,0,0,18.1
6/1/2013 3:20,285,284,4.6,7.9,19.2,88,854.4,0,0,17.9
6/1/2013 3:30,,,,,,,,,,
6/1/2013 3:40,,,,,,,,,,
6/1/2013 3:50,,,,,,,,,,
6/1/2013 4:00,,,,,,,,,,
6/1/2013 4:10,,,,,,,,,,
6/1/2013 4:20,,,,,,,,,,
6/1/2013 4:30,268,272,9.5,19.4,20.7,73,854.5,0,0,19.1
6/1/2013 4:40,255,252,10,19.1,20.7,71,854.4,0,0,19
6/1/2013 4:50,236,259,10,20.9,21,67,854.4,0,0,19.4
6/1/2013 5:00,235,235,7.1,15.1,21.1,66,854.4,0,0,19.4
6/1/2013 5:10,252,271,5,14,20.5,70,854.4,0,0,18.6
6/1/2013 5:20,270,262,6.4,14,19.9,70,854.4,0,0,18.2
6/1/2013 5:30,255,271,5.6,14,19.3,73,854.4,0,0,17.5
6/1/2013 5:40,280,253,4.1,11.2,19,72,854.4,0,0,17
6/1/2013 5:50,273,285,4.4,10.4,18.3,76,854.3,0,0,16.2
6/1/2013 6:00,154,229,3,7.6,17.5,79,854.3,0,0,15.6
6/1/2013 6:10,265,257,6,15.5,17.3,75,854.2,0,0,15.5
6/1/2013 6:20,266,266,8.4,18.7,18,68,854.1,0,0,16.1
6/1/2013 6:30,262,273,7,16.9,18.6,64,854,0,0,16.4
6/1/2013 6:40,263,281,9.1,17.6,18.8,62,854,0,0,16.8
6/1/2013 6:50,272,301,9.7,20.2,18.7,64,854,0,0,16.8
6/1/2013 7:00,266,276,8.8,16.9,18.6,62,853.9,0,0,16.8
6/1/2013 7:10,262,293,9.1,18,18.5,61,853.8,0,0,16.8
6/1/2013 7:20,263,284,10.9,18.4,18.7,58,853.6,0,0,16.9
6/1/2013 7:30,257,255,9.1,20.9,18.8,57,853.5,0,0,17
6/1/2013 7:40,248,252,8.1,16.9,18.6,57,853.4,0,0,16.8
6/1/2013 7:50,247,263,8,19.1,18.8,55,853.3,0,0,16.9
6/1/2013 8:00,261,235,8.5,17.3,18.8,56,853.3,0,0,16.9
6/1/2013 8:10,260,256,9.2,20.9,18.6,55,853.2,0,0,16.9
6/1/2013 8:20,262,239,9.2,19.1,18.7,54,853.2,0,0,16.9
6/1/2013 8:30,252,255,8.5,16.9,18.9,52,853.1,0,0,17
6/1/2013 8:40,273,274,9.5,21.6,18.6,53,853.1,0,0,16.7
6/1/2013 8:50,271,243,8.3,17.3,18.1,55,853.1,0,0,16.3
6/1/2013 9:00,265,255,9.8,18.4,18,53,852.9,0,0,16.3
6/1/2013 9:10,255,256,10.5,20.9,18.2,51,852.8,0,0,16.4
6/1/2013 9:20,266,273,9.2,18.7,18.2,52,852.8,0,0,16.3
6/1/2013 9:30,259,270,9,21.6,18,51,852.8,0,0,16.2
6/1/2013 9:40,262,263,9.1,18.4,18,50,852.7,0,0,16.1
6/1/2013 9:50,250,252,9.8,21.6,18.2,48,852.8,0,0,16.4
6/1/2013 10:00,256,262,10,22,18.2,48,852.8,0,0,16.4
6/1/2013 10:10,261,264,9.9,22.3,18,47,852.7,0,0,16.4
6/1/2013 10:20,253,249,10.6,21.6,18.3,45,852.7,0,0,16.6
6/1/2013 10:30,262,233,9.1,18,18.3,47,852.7,0,0,16.4
6/1/2013 10:40,258,264,8.7,19.1,17.8,48,852.7,0,0,15.9
6/1/2013 10:50,263,277,8.7,16.9,17.7,48,852.7,0,0,15.7
6/1/2013 11:00,259,260,7.8,14.4,17.3,49,852.7,0,0,15.5
6/1/2013 11:10,263,275,9.1,24.1,17.3,48,852.7,0,0,15.4
6/1/2013 11:20,262,231,9.4,19.8,17.3,48,852.7,0,0,15.5
6/1/2013 11:30,256,237,10.5,22.3,17.5,45,852.7,0,0,15.8
6/1/2013 11:40,252,260,10.6,20.9,17.9,43,852.8,0,0,16.1
6/1/2013 11:50,252,247,8.1,16.9,18,44,852.9,0,0,16.1
6/1/2013 12:00,267,241,8.2,15.5,17.9,44,853,0,2,15.9
6/1/2013 12:10,271,280,9.8,20.5,17.6,44,853.1,0,7,15.7
6/1/2013 12:20,262,271,8,17.3,17.7,44,853.2,0,12,15.8
6/1/2013 12:30,259,266,9.7,22.3,17.8,43,853.2,0,17,15.9
6/1/2013 12:40,261,239,9.1,19.1,17.8,42,853.2,0,22,16.1
6/1/2013 12:50,256,250,9.9,25.9,18.2,41,853.2,0,26,16.5
6/1/2013 13:00,249,240,10.3,21.2,18.6,39,853.3,0,30,16.9
6/1/2013 13:10,266,268,9.2,17.6,18.8,39,853.3,0,34,17
6/1/2013 13:20,262,238,10.3,20.5,19.3,37,853.4,0,123,17.7
6/1/2013 13:30,283,295,8.9,16.6,20.5,36,853.4,0,279,18.9
6/1/2013 13:40,281,301,10.3,17.6,21.8,32,853.5,0,318,20.3
6/1/2013 13:50,271,273,8.4,18.7,22.8,30,853.5,0,358,21.6
6/1/2013 14:00,279,277,8.8,19.4,23.8,30,853.6,0,399,22.7
6/1/2013 14:10,295,305,11,17.3,24.5,28,853.6,0,439,23.7
6/1/2013 14:20,301,291,12.3,19.1,25.2,27,853.6,0,478,24.8
6/1/2013 14:30,292,299,9.2,16.2,25.8,25,853.6,0,516,25.6
6/1/2013 14:40,293,309,9.3,19.1,26.5,25,853.6,0,555,25.6
6/1/2013 14:50,314,302,7.4,12.2,27.2,25,853.6,0,589,26.2
6/1/2013 15:00,300,304,7.1,14,27.8,23,853.6,0,413,26.8
6/1/2013 15:10,304,292,6.8,11.2,28.3,22,853.6,0,86,27.8
6/1/2013 15:20,324,318,3.3,10.1,29,21,853.5,0,461,29.3
6/1/2013 15:30,27,52,3.5,8.6,29.9,22,853.5,0,653,29.8
6/1/2013 15:40,50,88,2.7,6.8,30.5,20,853.4,0,605,29.9
6/1/2013 15:50,72,61,3.5,7.6,31,19,853.4,0,659,31.1
6/1/2013 16:00,101,117,9.4,19.1,31.2,19,853.4,0,225,32.2
6/1/2013 16:10,108,116,14.3,22.7,30.7,19,853.4,0,138,32.5
6/1/2013 16:20,107,99,12,19.8,30.9,18,853.4,0,655,32.5
6/1/2013 16:30,105,94,9.1,14.4,31.2,19,853.3,0,271,32.4
6/1/2013 16:40,107,99,9.2,16.9,31.6,19,853.3,0,668,32
6/1/2013 16:50,102,77,9.3,14,31.9,17,853.2,0,260,31.9
6/1/2013 17:00,106,117,7,16.2,32.3,16,853.1,0,130,31.9
6/1/2013 17:10,100,103,10.8,17.3,32.8,18,853.1,0,347,32.1
6/1/2013 17:20,112,104,11.4,20.2,32.8,16,853.1,0,1019,32.2
6/1/2013 17:30,113,118,15.1,20.9,33.4,14,853.1,0,1019,33.4
6/1/2013 17:40,114,113,17.2,27.4,33.7,9,853.1,0,1030,34.9
6/1/2013 17:50,116,108,17.1,26.3,33.8,10,853,0,1060,35
6/1/2013 18:00,118,116,20.3,30.2,33.8,10,853,0,1068,35.4
6/1/2013 18:10,121,115,19.6,36,33.6,10,853,0,1073,34.1
6/1/2013 18:20,110,104,19.9,35.3,33.7,12,853,0,1040,34.5
6/1/2013 18:30,119,118,15.5,30.6,33.8,12,853,0,1085,36.5
6/1/2013 18:40,125,124,13.3,28.8,34.1,9,852.9,0,1090,38.2
6/1/2013 18:50,121,111,17.4,32,33.9,8,852.9,0,1094,38.6
