fecha,DirViento,DirRafaga,RapViento,RapRafaga,TempAire,HumRelativa,PresBarometric,Precipitacion,RadSolar,nombre_estacion
9/1/2019 0:00,19,38,4.8,15.1,30,53,928.8,0,100,"EL DIENTE, N.L."
9/1/2019 0:10,46,51,4.1,11.2,29.8,54,928.9,0,68,"EL DIENTE, N.L."
9/1/2019 0:20,36,68,3.7,9.7,29.7,56,928.9,0,42,"EL DIENTE, N.L."
9/1/2019 0:30,36,56,2.1,7.2,29.4,56,928.8,0,31,"EL DIENTE, N.L."
9/1/2019 0:40,104,145,1.5,4.7,29.2,59,928.8,0,20,"EL DIENTE, N.L."
9/1/2019 0:50,122,135,1.9,5.4,28.8,63,928.9,0,8,"EL DIENTE, N.L."
9/1/2019 1:00,177,176,2.1,5.4,28.3,65,929.1,0,0,"EL DIENTE, N.L."
9/1/2019 1:10,253,245,1.9,6.1,27.9,68,929,0,0,"EL DIENTE, N.L."
9/1/2019 1:20,203,236,1.5,4.3,27.4,71,929,0,0,"EL DIENTE, N.L."
9/1/2019 1:30,173,198,0.8,4.3,26.8,74,929,0,0,"EL DIENTE, N.L."
9/1/2019 1:40,3,26,3.7,9,26.3,78,929.1,0,0,"EL DIENTE, N.L."
9/1/2019 1:50,355,39,3.6,10.8,26,79,929.2,0,0,"EL DIENTE, N.L."
9/1/2019 2:00,352,348,3.6,8.3,25.8,80,929.4,0,0,"EL DIENTE, N.L."
9/1/2019 2:10,104,198,2.1,5.4,25.6,82,929.6,0,0,"EL DIENTE, N.L."
9/1/2019 2:20,291,308,4.7,14,25.4,83,929.7,0,0,"EL DIENTE, N.L."
9/1/2019 2:30,265,191,3.3,8.3,25.5,81,929.6,0,0,"EL DIENTE, N.L."
9/1/2019 2:40,348,263,2.4,4.7,25.5,82,929.6,0,0,"EL DIENTE, N.L."
9/1/2019 2:50,216,184,2.4,5.8,25.3,84,929.7,0,0,"EL DIENTE, N.L."
9/1/2019 3:00,290,216,2.6,6.5,25.2,85,929.9,0,0,"EL DIENTE, N.L."
9/1/2019 3:10,320,306,2.3,5,24.9,87,930.1,0,0,"EL DIENTE, N.L."
9/1/2019 3:20,280,335,2.1,5.8,24.6,89,930.2,0,0,"EL DIENTE, N.L."
9/1/2019 3:30,103,220,2.1,6.1,24.4,90,930.4,0,0,"EL DIENTE, N.L."
9/1/2019 3:40,279,242,3.1,6.1,24.3,91,930.5,0,0,"EL DIENTE, N.L."
9/1/2019 3:50,289,195,2.7,6.1,24.1,93,930.7,0,0,"EL DIENTE, N.L."
9/1/2019 4:00,186,186,2.9,6.5,24.3,92,930.8,0,0,"EL DIENTE, N.L."
9/1/2019 4:10,249,257,3.9,7.6,24.4,91,930.9,0,0,"EL DIENTE, N.L."
9/1/2019 4:20,345,353,1.8,4.3,24.5,90,931.1,0,0,"EL DIENTE, N.L."
9/1/2019 4:30,66,266,1.2,3.2,24.5,91,931.2,0,0,"EL DIENTE, N.L."
9/1/2019 4:40,295,305,1.2,3.6,24.4,92,931.3,0,0,"EL DIENTE, N.L."
9/1/2019 4:50,61,347,1.6,8.3,24.3,94,931.3,0,0,"EL DIENTE, N.L."
9/1/2019 5:00,353,351,6.6,11.5,24.2,90,931.4,0,0,"EL DIENTE, N.L."
9/1/2019 5:10,21,46,5.2,16.2,24.5,81,931.4,0,0,"EL DIENTE, N.L."
9/1/2019 5:20,15,341,3.7,10.8,24.7,81,931.4,0,0,"EL DIENTE, N.L."
9/1/2019 5:30,212,196,1.7,5,24.4,87,931.3,0,0,"EL DIENTE, N.L."
9/1/2019 5:40,193,23,2.6,10.8,24,90,931.3,0,0,"EL DIENTE, N.L."
9/1/2019 5:50,48,32,4.2,11.9,23.9,88,931.3,0,0,"EL DIENTE, N.L."
9/1/2019 6:00,35,32,4.6,12.6,24.1,85,931.3,0,0,"EL DIENTE, N.L."
9/1/2019 6:10,206,188,3.9,7.2,24,88,931.3,0,0,"EL DIENTE, N.L."
9/1/2019 6:20,220,199,3.6,6.8,23.6,91,931.3,0,0,"EL DIENTE, N.L."
9/1/2019 6:30,39,347,2.5,6.5,23.4,93,931.2,0,0,"EL DIENTE, N.L."
9/1/2019 6:40,322,347,1,4.3,23.3,92,931.1,0,0,"EL DIENTE, N.L."
9/1/2019 6:50,276,350,1.6,4.7,23.3,92,931,0,0,"EL DIENTE, N.L."
9/1/2019 7:00,250,310,1.3,3.6,23,94,931,0,0,"EL DIENTE, N.L."
9/1/2019 7:10,230,195,1.5,4.3,22.8,97,931,0,0,"EL DIENTE, N.L."
9/1/2019 7:20,226,190,1.2,4.3,22.6,98,931,0,0,"EL DIENTE, N.L."
9/1/2019 7:30,280,255,2.1,5.8,22.5,98,931,0,0,"EL DIENTE, N.L."
9/1/2019 7:40,252,273,1.5,4,22.3,99,930.9,0,0,"EL DIENTE, N.L."
9/1/2019 7:50,259,218,2.7,4.7,22.1,100,930.7,0,0,"EL DIENTE, N.L."
9/1/2019 8:00,301,315,2.9,5.4,21.7,100,930.7,0,0,"EL DIENTE, N.L."
9/1/2019 8:10,247,313,2.9,6.5,21.4,100,930.7,0,0,"EL DIENTE, N.L."
9/1/2019 8:20,292,310,2.6,6.1,21.2,100,930.6,0,0,"EL DIENTE, N.L."
9/1/2019 8:30,259,312,3.1,5.8,21,100,930.6,0,0,"EL DIENTE, N.L."
9/1/2019 8:40,290,311,2.4,4.3,20.9,100,930.5,0,0,"EL DIENTE, N.L."
9/1/2019 8:50,211,182,2.4,5,20.8,100,930.4,0,0,"EL DIENTE, N.L."
9/1/2019 9:00,261,187,1.8,4.7,20.7,100,930.3,0,0,"EL DIENTE, N.L."
9/1/2019 9:10,291,295,2.3,7.2,20.7,100,930.1,0,0,"EL DIENTE, N.L."
9/1/2019 9:20,332,322,3.5,7.2,20.7,100,930,0,0,"EL DIENTE, N.L."
9/1/2019 9:30,190,199,2.3,5.8,20.8,100,930.2,0,0,"EL DIENTE, N.L."
9/1/2019 9:40,279,218,2.2,4.3,20.9,100,930.2,0,0,"EL DIENTE, N.L."
9/1/2019 9:50,255,274,1.5,3.6,20.8,100,930.2,0,0,"EL DIENTE, N.L."
9/1/2019 10:00,260,322,1.7,7.2,20.8,100,930.2,0,0,"EL DIENTE, N.L."
9/1/2019 10:10,210,222,2.1,5.4,20.8,100,930.2,0,0,"EL DIENTE, N.L."
9/1/2019 10:20,249,196,2.1,4.3,20.7,100,930.2,0,0,"EL DIENTE, N.L."
9/1/2019 10:30,252,206,1.6,3.2,20.7,100,930.2,0,0,"EL DIENTE, N.L."
9/1/2019 10:40,234,348,0.7,2.5,20.4,100,930.2,0,0,"EL DIENTE, N.L."
9/1/2019 10:50,284,307,1.6,4,20.3,100,930.4,0,0,"EL DIENTE, N.L."
9/1/2019 11:00,271,240,0.9,3.2,20.1,100,930.5,0,0,"EL DIENTE, N.L."
9/1/2019 11:10,282,320,1.1,3.2,20,100,930.5,0,0,"EL DIENTE, N.L."
9/1/2019 11:20,275,334,2,5,19.9,100,930.5,0,0,"EL DIENTE, N.L."
9/1/2019 11:30,272,310,1.3,3.6,19.8,100,930.5,0,0,"EL DIENTE, N.L."
9/1/2019 11:40,281,311,1.8,4.7,19.6,100,930.5,0,0,"EL DIENTE, N.L."
9/1/2019 11:50,206,209,1.1,5,19.5,100,930.6,0,0,"EL DIENTE, N.L."
9/1/2019 12:00,283,303,2.5,5.4,19.5,100,930.7,0,0,"EL DIENTE, N.L."
9/1/2019 12:10,289,315,1.8,4,19.4,100,930.8,0,0,"EL DIENTE, N.L."
9/1/2019 12:20,294,310,2.1,6.1,19.4,100,930.9,0,0,"EL DIENTE, N.L."
9/1/2019 12:30,235,306,1.7,3.6,19.4,100,930.9,0,3,"EL DIENTE, N.L."
9/1/2019 12:40,230,309,0.9,4.3,19.4,100,931.1,0,10,"EL DIENTE, N.L."
9/1/2019 12:50,295,216,1.3,3.6,19.6,100,931.2,0,20,"EL DIENTE, N.L."
9/1/2019 13:00,273,310,1.2,3.2,19.7,100,931.4,0,32,"EL DIENTE, N.L."
9/1/2019 13:10,262,331,1.5,3.2,19.9,100,931.5,0,47,"EL DIENTE, N.L."
9/1/2019 13:20,211,192,1.3,3.6,20.6,100,931.5,0,101,"EL DIENTE, N.L."
9/1/2019 13:30,185,191,2,4,21.8,100,931.6,0,151,"EL DIENTE, N.L."
9/1/2019 13:40,109,150,1.2,3.2,23,100,931.7,0,186,"EL DIENTE, N.L."
9/1/2019 13:50,106,96,2.6,6.8,23.9,97,931.7,0,219,"EL DIENTE, N.L."
9/1/2019 14:00,100,84,5,9.4,24.4,98,931.9,0,223,"EL DIENTE, N.L."
9/1/2019 14:10,94,79,5.6,13,24.8,96,932,0,308,"EL DIENTE, N.L."
9/1/2019 14:20,102,92,4.4,9.7,25.4,92,932.1,0,351,"EL DIENTE, N.L."
9/1/2019 14:30,100,80,4.5,9.7,25.9,87,932.1,0,387,"EL DIENTE, N.L."
9/1/2019 14:40,96,59,5,9.7,26.3,83,932.3,0,379,"EL DIENTE, N.L."
9/1/2019 14:50,119,125,3.3,7.9,26.6,82,932.3,0,337,"EL DIENTE, N.L."
9/1/2019 15:00,119,81,6.1,11.5,26.4,85,932.4,0,325,"EL DIENTE, N.L."
9/1/2019 15:10,88,60,8.5,16.2,26.5,83,932.5,0,350,"EL DIENTE, N.L."
9/1/2019 15:20,96,66,8.6,13.3,26.6,83,932.5,0,549,"EL DIENTE, N.L."
9/1/2019 15:30,89,70,6.8,14,27.5,75,932.5,0,609,"EL DIENTE, N.L."
9/1/2019 15:40,86,90,6.2,12.6,28.3,69,932.6,0,616,"EL DIENTE, N.L."
9/1/2019 15:50,91,86,6.8,14.4,28.2,71,932.6,0,437,"EL DIENTE, N.L."
9/1/2019 16:00,104,107,4.5,11.9,28.1,70,932.6,0,275,"EL DIENTE, N.L."
9/1/2019 16:10,197,231,2.8,8.6,27.9,70,932.5,0,500,"EL DIENTE, N.L."
9/1/2019 16:20,165,189,4.6,9,28.6,65,932.5,0,388,"EL DIENTE, N.L."
9/1/2019 16:30,131,110,5.6,15.8,28.1,67,932.4,0,434,"EL DIENTE, N.L."
9/1/2019 16:40,126,53,5.2,11.9,28.6,62,932.4,0,378,"EL DIENTE, N.L."
9/1/2019 16:50,156,149,4.7,7.9,28.3,66,932.4,0,312,"EL DIENTE, N.L."
9/1/2019 17:00,21,49,3,8.3,28.4,63,932.3,0,338,"EL DIENTE, N.L."
9/1/2019 17:10,38,63,4.4,13.7,28.8,61,932.2,0,348,"EL DIENTE, N.L."
9/1/2019 17:20,65,72,8.8,26.3,29.7,55,932.1,0,819,"EL DIENTE, N.L."
9/1/2019 17:30,15,72,6,16.6,29.9,56,932.1,0,164,"EL DIENTE, N.L."
9/1/2019 17:40,42,52,5.8,15.8,29,59,932.1,0,126,"EL DIENTE, N.L."
9/1/2019 17:50,12,66,5.3,18,28.6,60,932.1,0,235,"EL DIENTE, N.L."
9/1/2019 18:00,82,72,4.9,12.6,28.5,61,931.9,0,213,"EL DIENTE, N.L."
9/1/2019 18:10,113,131,7.4,20.2,28.1,71,931.7,0,390,"EL DIENTE, N.L."
9/1/2019 18:20,232,46,6.8,22.7,28.3,63,931.6,0,594,"EL DIENTE, N.L."
9/1/2019 18:30,44,45,10.2,24.5,30,50,931.6,0,959,"EL DIENTE, N.L."
9/1/2019 18:40,56,31,11.7,31.3,31,49,931.5,0,552,"EL DIENTE, N.L."
9/1/2019 18:50,39,53,7.4,28.4,30.6,50,931.4,0,509,"EL DIENTE, N.L."
9/1/2019 19:00,355,44,9.9,20.5,30.2,51,931.2,0,267,"EL DIENTE, N.L."
9/1/2019 19:10,346,34,9.1,27,29.8,52,931.1,0,354,"EL DIENTE, N.L."
9/1/2019 19:20,333,350,7.6,18.4,30,50,931,0,555,"EL DIENTE, N.L."
9/1/2019 19:30,3,40,9.8,21.2,30.3,49,931,0,279,"EL DIENTE, N.L."
9/1/2019 19:40,358,345,9.5,24.1,30.1,48,930.9,0,537,"EL DIENTE, N.L."
9/1/2019 19:50,18,27,6.5,19.4,30.2,48,930.7,0,287,"EL DIENTE, N.L."
9/1/2019 20:00,3,29,7.4,21.2,30.3,47,930.5,0,556,"EL DIENTE, N.L."
9/1/2019 20:10,68,75,8.2,27.4,31.4,43,930.4,0,1035,"EL DIENTE, N.L."
9/1/2019 20:20,31,34,7.3,20.2,32.4,40,930.3,0,1024,"EL DIENTE, N.L."
9/1/2019 20:30,234,228,7.1,18,32.9,41,930.1,0,980,"EL DIENTE, N.L."
9/1/2019 20:40,78,54,5.4,19.1,33.6,39,929.9,0,808,"EL DIENTE, N.L."
9/1/2019 20:50,0,51,9.8,28.1,33.5,40,929.8,0,759,"EL DIENTE, N.L."
9/1/2019 21:00,38,18,8.6,25.2,32.7,40,929.9,0,851,"EL DIENTE, N.L."
9/1/2019 21:10,27,346,7.2,19.8,33.2,39,929.6,0,861,"EL DIENTE, N.L."
