Fecha Local,Dirección del Viento (grados),Dirección de ráfaga (grados),Rapidez de viento (km/h),Rapidez de ráfaga (km/h),Temperatura del Aire (°C),Humedad relativa (%),Presión Atmosférica (hpa),Precipitación (mm),Radiación Solar (W/m²)
4/1/2022 0:00,20,15,9.6,22.7,26.6,27,923.6,0,76
4/1/2022 0:10,356,354,7.4,19.1,26.4,27,923.6,0,51
4/1/2022 0:20,307,289,6,11.5,26.2,28,923.7,0,37
4/1/2022 0:30,297,288,4.1,10.1,25.7,29,923.8,0,28
4/1/2022 0:40,318,318,4.6,9,25,31,923.9,0,25
4/1/2022 0:50,347,330,5.9,15.8,24.3,32,924,0,6
4/1/2022 1:00,337,292,3.4,8.6,23.6,33,924.1,0,0
4/1/2022 1:10,235,315,4.2,8.3,23.2,33,924.1,0,0
4/1/2022 1:20,215,187,4.2,9.4,22.4,35,924.2,0,0
4/1/2022 1:30,240,197,2.7,8.6,21.6,36,924.3,0,0
4/1/2022 1:40,211,189,2.7,7.2,20.9,37,924.5,0,0
4/1/2022 1:50,227,200,2.4,7.2,20.5,37,924.7,0,0
4/1/2022 2:00,250,186,3.5,6.8,20.1,38,924.8,0,0
4/1/2022 2:10,222,188,3.4,9.7,20.2,37,924.9,0,0
4/1/2022 2:20,281,308,5.6,13.7,20,37,924.9,0,0
4/1/2022 2:30,246,203,4,10.4,20,38,925.1,0,0
4/1/2022 2:40,273,187,4.7,9.7,19.8,38,925.2,0,0
4/1/2022 2:50,312,324,2.7,9,19.6,39,925.2,0,0
4/1/2022 3:00,352,5,6.5,24.5,19.5,37,925.5,0,0
4/1/2022 3:10,359,323,5.9,16.2,21,33,925.6,0,0
4/1/2022 3:20,341,18,3.4,10.8,20.9,36,925.5,0,0
4/1/2022 3:30,305,170,5.5,12.2,20.3,37,925.5,0,0
4/1/2022 3:40,1,337,6.4,18.4,20.5,36,925.6,0,0
4/1/2022 3:50,352,357,6.3,21.6,21.1,36,925.6,0,0
4/1/2022 4:00,211,356,4.3,10.4,21.1,37,925.6,0,0
4/1/2022 4:10,237,355,4.6,19.8,20.3,39,925.6,0,0
4/1/2022 4:20,228,187,3.1,10.4,19.6,41,925.8,0,0
4/1/2022 4:30,331,22,7,18.4,19.6,41,925.8,0,0
4/1/2022 4:40,217,210,4.3,9.7,19.4,42,925.8,0,0
4/1/2022 4:50,226,349,4.1,9.4,18.7,45,925.9,0,0
4/1/2022 5:00,236,212,3.7,8.3,18,47,925.8,0,0
4/1/2022 5:10,294,348,4.4,10.1,17.7,48,925.8,0,0
4/1/2022 5:20,206,36,5,12.2,17.9,47,925.7,0,0
4/1/2022 5:30,192,170,3.6,7.2,17.8,48,925.6,0,0
4/1/2022 5:40,285,320,3,8.6,17.2,51,925.6,0,0
4/1/2022 5:50,187,95,5.1,9,16.9,52,925.6,0,0
4/1/2022 6:00,273,335,2.7,6.8,16.8,52,925.6,0,0
4/1/2022 6:10,223,200,2.8,6.5,16.5,53,925.7,0,0
4/1/2022 6:20,233,179,4.5,9.4,16.2,54,925.7,0,0
4/1/2022 6:30,245,215,3.9,9,15.9,55,925.6,0,0
4/1/2022 6:40,211,267,3.8,7.2,15.6,57,925.6,0,0
4/1/2022 6:50,241,215,2.8,6.5,15.3,58,925.7,0,0
4/1/2022 7:00,233,220,2.8,7.2,15.1,58,925.7,0,0
4/1/2022 7:10,249,209,3.3,6.5,15,59,925.7,0,0
4/1/2022 7:20,203,183,3.4,7.2,14.9,60,925.6,0,0
4/1/2022 7:30,272,306,4.3,10.1,14.9,59,925.5,0,0
4/1/2022 7:40,226,180,3.5,6.8,14.7,60,925.3,0,0
4/1/2022 7:50,243,182,2.4,5.4,14.6,60,925.2,0,0
4/1/2022 8:00,237,205,2.1,4.3,14.3,61,925.2,0,0
4/1/2022 8:10,251,278,4.1,10.4,14.1,61,925.2,0,0
4/1/2022 8:20,252,232,3.7,7.6,14.2,61,925.1,0,0
4/1/2022 8:30,260,311,4.3,9,14,62,925,0,0
4/1/2022 8:40,261,246,2.8,5.8,14,62,925,0,0
4/1/2022 8:50,254,231,3.1,5.8,13.9,62,924.9,0,0
4/1/2022 9:00,261,195,3.9,7.6,13.8,62,924.9,0,0
4/1/2022 9:10,275,309,3.5,7.2,13.7,62,925,0,0
4/1/2022 9:20,266,190,2.5,4.7,13.5,63,925,0,0
4/1/2022 9:30,275,317,2.8,7.6,13.3,63,925,0,0
4/1/2022 9:40,285,325,2.9,8.3,13.2,63,925.1,0,0
4/1/2022 9:50,255,335,2.1,4.7,13,64,925.2,0,0
