Fecha Local,Fecha UTC,Dirección del Viento (grados),Dirección de ráfaga (grados),Rapidez de viento (km/h),Rapidez de ráfaga (km/h),Temperatura del Aire (°C),Humedad relativa (%),Presión Atmosférica (hpa),Precipitación (mm),Radiación Solar (W/m²)
10/31/2022 23:50,11/1/2022 5:50,195,166,2,4.7,17.3,100,930.2,0.2,0
10/31/2022 23:40,11/1/2022 5:40,284,290,1.1,3.2,17.2,100,930.2,0.4,0
10/31/2022 23:30,11/1/2022 5:30,351,344,1.5,2.9,17.2,100,930.3,0,0
10/31/2022 23:20,11/1/2022 5:20,184,183,1.4,3.2,17.2,100,930.3,0.2,0
10/31/2022 23:10,11/1/2022 5:10,329,59,1.5,3.2,17.2,100,930.3,0.4,0
10/31/2022 23:00,11/1/2022 5:00,241,180,1,3.6,17.2,100,930.3,0.4,0
10/31/2022 22:50,11/1/2022 4:50,269,205,1.2,3.2,17.1,100,930.3,0.6,0
10/31/2022 22:40,11/1/2022 4:40,238,315,1.2,2.9,17.1,100,930.3,0.4,0
10/31/2022 22:30,11/1/2022 4:30,321,298,1.5,3.6,17.1,100,930.2,1.2,0
10/31/2022 22:20,11/1/2022 4:20,212,250,1.1,3.2,17.1,100,930.2,0.8,0
10/31/2022 22:10,11/1/2022 4:10,119,81,0.4,1.4,17.1,100,930.2,0.6,0
10/31/2022 22:00,11/1/2022 4:00,24,64,0.7,2.5,17.1,100,930.2,0.2,0
10/31/2022 21:50,11/1/2022 3:50,77,90,1.1,3.2,17.1,100,930.1,0.2,0
10/31/2022 21:40,11/1/2022 3:40,21,355,1.6,4.7,17.1,100,930.1,0.4,0
10/31/2022 21:30,11/1/2022 3:30,112,148,1.5,3.6,17.1,100,930,0.2,0
10/31/2022 21:20,11/1/2022 3:20,334,118,0.8,2.9,17.1,100,930,0.2,0
10/31/2022 21:10,11/1/2022 3:10,340,322,0.4,2.5,17.1,100,929.9,0,0
10/31/2022 21:00,11/1/2022 3:00,31,83,1.5,3.2,17.1,100,929.8,0,0
10/31/2022 20:50,11/1/2022 2:50,115,90,0.5,2.2,17.1,100,929.8,0.4,0
10/31/2022 20:40,11/1/2022 2:40,355,99,0.2,1.4,17.1,100,929.7,0.6,0
10/31/2022 20:30,11/1/2022 2:30,18,72,1.7,3.2,17.1,100,929.6,0.2,0
10/31/2022 20:20,11/1/2022 2:20,65,90,1.6,5,17.2,100,929.6,0.4,0
10/31/2022 20:10,11/1/2022 2:10,35,97,1.3,4.7,17.2,100,929.5,0.4,0
10/31/2022 20:00,11/1/2022 2:00,17,58,0.7,2.5,17.3,100,929.4,0.2,0
10/31/2022 19:50,11/1/2022 1:50,110,116,1.4,3.2,17.3,100,929.4,0.2,0
10/31/2022 19:40,11/1/2022 1:40,44,327,1,2.5,17.3,100,929.4,0.4,0
10/31/2022 19:30,11/1/2022 1:30,105,99,1.1,2.5,17.4,100,929.2,0,0
10/31/2022 19:20,11/1/2022 1:20,122,111,0.6,2.2,17.5,100,929.1,0.2,0
10/31/2022 19:10,11/1/2022 1:10,69,38,0.6,2.5,17.6,100,929,0,0
10/31/2022 19:00,11/1/2022 1:00,50,26,1.5,5,17.8,100,929,0,0
10/31/2022 18:50,11/1/2022 0:50,348,40,1.3,7.2,18.1,100,928.8,0,0
10/31/2022 18:40,11/1/2022 0:40,188,205,1.5,3.2,18.3,100,928.7,0,0
10/31/2022 18:30,11/1/2022 0:30,124,167,0.7,2.5,18.5,100,928.6,0,0
10/31/2022 18:20,11/1/2022 0:20,303,286,1,5,18.6,100,928.5,0,0
10/31/2022 18:10,11/1/2022 0:10,270,309,2.2,5.8,18.7,100,928.4,0,0
10/31/2022 18:00,11/1/2022 0:00,14,70,1.7,7.2,18.9,100,928.3,0,0
10/31/2022 17:50,10/31/2022 23:50,18,22,3.2,8.3,19,100,928.1,0,3
10/31/2022 17:40,10/31/2022 23:40,19,348,3.4,7.2,19.1,100,928,0,13
10/31/2022 17:30,10/31/2022 23:30,14,40,4.8,13,19.2,100,928,0,23
10/31/2022 17:20,10/31/2022 23:20,26,53,6.2,15.5,19.3,100,927.9,0,38
10/31/2022 17:10,10/31/2022 23:10,10,42,7.2,18.7,19.2,100,927.7,0,53
10/31/2022 17:00,10/31/2022 23:00,3,342,7.3,14.8,19.3,100,927.5,0,56
10/31/2022 16:50,10/31/2022 22:50,46,39,4,14,19.4,100,927.4,0,60
10/31/2022 16:40,10/31/2022 22:40,29,41,6.2,16.9,19.5,100,927.4,0,58
10/31/2022 16:30,10/31/2022 22:30,14,29,8.1,19.4,19.8,100,927.4,0,44
10/31/2022 16:20,10/31/2022 22:20,256,287,4.1,10.1,20.2,100,927.2,0,70
