Fecha,Precipitacion (mm),Evaporacion (mm),T_Max (C),T_Min (C)
1/4/1972,0,3.9,24.5,7.5
2/4/1972,0,3.6,27,9.5
3/4/1972,0,4.8,29,12
4/4/1972,8.5,2.5,27,15
5/4/1972,0,4.2,28,18.5
6/4/1972,0,5.8,32,20
7/4/1972,0,5.3,34,15
8/4/1972,6.7,4.1,30,16.5
9/4/1972,0.5,1.3,24,21
10/4/1972,0,2.8,25.5,20
11/4/1972,0,3.4,30,18
12/4/1972,0,4.5,31.5,18.5
13/04/1972  ,0,4.9,33,17
14/04/1972  ,0,6.3,36,18
15/04/1972  ,0,8.9,33.5,16
16/04/1972  ,0,6.4,31,13.5
17/04/1972  ,0,4.7,29,16
18/04/1972  ,0,5.4,30,21
19/04/1972  ,0,6.6,33,18
20/04/1972  ,0,7.2,34,18
21/04/1972  ,0,7.9,30,19
22/04/1972  ,0,4.9,24,14
23/04/1972  ,0,1.2,29,14.5
24/04/1972  ,0,4.2,29,18
25/04/1972  ,0,2,23,19
26/04/1972  ,0,2.5,25,17
27/04/1972  ,0,0.5,30,19
28/04/1972  ,0,3.5,27,19
29/04/1972  ,0,3.2,26,20
30/04/1972  ,0,2.3,27,20
1/5/1972,0,4.5,28.5,18
2/5/1972,23,4.8,30,19.5
3/5/1972,0,3.6,24.5,18.5
4/5/1972,5.8,2.3,24,16
5/5/1972,5.5,1.8,21.5,18.5
6/5/1972,0.2,2.8,29,18
7/5/1972,0,3.8,30,18
8/5/1972,16,2.9,24,21
9/5/1972,4,2.2,23,21
10/5/1972,8.2,4.1,29,20.5
11/5/1972,0.5,3,26,20
12/5/1972,0,2.2,29,21
13/05/1972  ,3.9,1.9,26,19
14/05/1972  ,14,2.2,25,20
15/05/1972  ,4,2.1,21.5,18
16/05/1972  ,0,2,25,19.5
17/05/1972  ,31.3,2.1,27.5,20.5
18/05/1972  ,2.3,3,27.5,17.5
19/05/1972  ,0,3.5,26,17.5
20/05/1972  ,0,2,25,20
21/05/1972  ,0,4.2,28,19
22/05/1972  ,0,4.8,29,19
23/05/1972  ,0,3.4,28,19
24/05/1972  ,0,5.1,30,20
25/05/1972  ,0,1.7,27,22
26/05/1972  ,0,4.8,27,21
27/05/1972  ,12.8,4.6,28,21
28/05/1972  ,0,3.6,27,21
29/05/1972  ,4.9,4.8,27,20.5
30/05/1972  ,9.3,3.7,28,21
31/05/1972  ,4.2,2.9,28,19
1/6/1972,1,2.2,27,20
2/6/1972,1,3.1,27,18
3/6/1972,0,5.1,29,17
4/6/1972,8.5,7.4,28,15
5/6/1972,1.1,4.2,29,19
6/6/1972,4.1,2,26,19
7/6/1972,9.6,4.9,27,19
8/6/1972,25.5,9.1,24,21
9/6/1972,11.2,3.3,29.5,20
10/6/1972,42.8,3.2,29,21
11/6/1972,31.6,2.5,28,20.5
12/6/1972,34,4.9,28,21.5
13/06/1972  ,2,1.5,27,21.5
14/06/1972  ,0,5.3,31,21
15/06/1972  ,36,6.5,30,22.5
16/06/1972  ,40,6.1,30.5,21
17/06/1972  ,6.9,5.8,28,19
18/06/1972  ,0,5.2,30,20.5
19/06/1972  ,0,6.3,32,19.5
20/06/1972  ,0,6.3,34,19
21/06/1972  ,0,6.8,34.5,16.5
22/06/1972  ,0,6.6,34,17
23/06/1972  ,0,6.6,34,18
24/06/1972  ,0,5.3,34.5,21.5
25/06/1972  ,0,6.6,35,23
26/06/1972  ,0,7.9,34.5,24.5
27/06/1972  ,0,7.2,34,22
28/06/1972  ,0,6.6,33.5,22.5
