Fecha,Domestico,Comercial,Industrial,Publico
1/1/2007,"41,623,168","5,708,450","1,920,363","5,277,811"
4/1/2007,"46,628,417","6,307,899","2,061,241","6,328,804"
7/1/2007,"48,674,488","6,646,697","2,159,315","6,142,299"
10/1/2007,"45,712,312","6,471,552","2,075,884","8,243,364"
1/1/2008,"44,115,474","6,146,401","1,951,772","8,637,665"
4/1/2008,"49,570,085","6,912,962","2,075,685","9,389,607"
7/1/2008,"49,684,571","7,062,770","2,026,692","9,260,765"
10/1/2008,"44,519,002","6,394,954","1,743,043","18,194,232"
1/1/2009,"44,445,574","6,030,915","1,522,624","7,810,151"
4/1/2009,"49,476,228","6,536,636","1,687,966","8,337,960"
7/1/2009,"53,498,237","7,215,592","1,917,112","9,841,705"
10/1/2009,"44,646,591","6,124,445","1,569,398","8,585,204"
1/1/2010,"42,787,153","5,633,981","1,509,744","8,244,911"
4/1/2010,"48,275,560","6,166,607","1,712,302","10,621,125"
7/1/2010,"50,591,877","6,465,971","1,833,085","8,994,515"
10/1/2010,"46,830,770","6,154,795","1,680,086","9,045,820"
1/1/2011,"45,324,742","5,756,150","1,576,431","8,716,452"
4/1/2011,"52,470,422","6,736,916","1,780,697","10,621,243"
7/1/2011,"53,018,710","6,841,211","1,796,551","10,458,339"
10/1/2011,"47,820,012","6,254,671","1,615,101","9,262,930"
1/1/2012,"14,640,302","1,854,408","462,144","2,899,647"
4/1/2012,"80,639,932","9,987,336","2,666,616","16,744,467"
7/1/2012,"52,746,424","6,752,848","1,693,474","11,195,050"
10/1/2012,"45,450,262","5,973,469","1,489,363","10,299,572"
1/1/2013,"44,386,816","5,659,789","1,442,426","10,358,610"
4/1/2013,"48,427,968","6,118,355","1,566,355","11,322,369"
7/1/2013,"50,252,529","6,474,968","1,665,893","11,677,938"
10/1/2013,"44,444,831","5,702,787","1,448,243","10,352,619"
1/1/2014,"44,200,159","5,677,824","1,429,643","9,850,732"
4/1/2014,"51,139,649","6,314,860","1,600,268","11,240,511"
7/1/2014,"54,626,486","6,877,317","1,677,353","12,755,881"
10/1/2014,"47,979,346","6,133,474","1,460,438","11,158,774"
1/1/2015,"45,982,943","5,786,721","1,368,326","3,255,717"
4/1/2015,"50,053,983","6,356,350","1,521,083","3,632,700"
7/1/2015,"56,464,477","7,388,695","1,731,305","4,269,176"
10/1/2015,"49,783,253","7,000,508","1,528,019","3,882,792"
1/1/2016,"48,829,423","6,521,048","1,463,631","3,736,214"
4/1/2016,"55,508,582","7,421,940","1,681,579","3,885,737"
7/1/2016,"59,666,813","8,049,273","1,732,528","4,076,956"
10/1/2016,"53,602,423","7,355,064","1,487,554","4,022,289"
1/1/2017,"51,615,749","6,950,924","1,494,551","3,706,479"
4/1/2017,"58,278,067","7,735,514","1,694,409","4,056,116"
7/1/2017,"62,183,697","8,553,778","1,821,672","4,376,069"
10/1/2017,"54,733,617","7,639,958","1,583,727","3,667,067"
1/1/2018,"55,770,503","7,297,141","1,511,714","3,769,807"
4/1/2018,"65,770,503","8,716,409","1,738,861","4,334,639"
7/1/2018,"67,814,355","9,504,616","1,777,520","4,593,084"
10/1/2018,"59,258,378","8,224,930","1,563,039","3,914,162"
1/1/2019,"57,924,039","7,764,199","1,481,573","3,683,539"
4/1/2019,"65,091,417","8,805,227","1,618,765","4,232,709"
7/1/2019,"70,570,053","9,568,884","1,776,535","4,338,982"
10/1/2019,"63,347,926","8,669,600","1,643,588","4,197,818"
1/1/2020,"61,748,844","8,294,772","1,514,683","3,884,242"
4/1/2020,"67,089,697","6,601,426","1,304,477","3,189,104"
7/1/2020,"71,079,660","7,370,256","1,536,524","3,189,105"
10/1/2020,"64,255,472","7,389,220","1,500,520","3,036,486"
1/1/2021,"61,089,884","6,636,715","1,399,278","2,897,510"
4/1/2021,"64,487,821","7,479,832","1,513,971","2,937,004"
7/1/2021,"68,018,090","8,167,325","1,598,763","1,990,352"
10/1/2021,"62,681,773","7,589,559","1,445,062","3,862,420"
1/1/2022,"57,451,624","7,167,229","1,386,009","2,537,656"
4/1/2022,"57,944,132","7,559,151","1,369,380","2,513,975"
7/1/2022,"52,000,874","6,680,834","1,148,482","2,218,827"
10/1/2022,"55,157,432","7,007,949","1,235,665","2,589,932"
